시점,지역별,총인구수,출생아수,합계출산율,수술인원,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
2006,전라남도,,15905,1.337,58329.0,,,,,
2006,전북특별자치도,,15571,1.213,55365.0,,,,,
2006,제주특별자치도,,5853,1.372,13159.0,,,,,
2006,충청남도,,18625,1.356,58037.0,,,,,
2006,충청북도,,13366,1.233,39383.0,,,,,
2007,강원특별자치도,,13690,1.356,40877.0,,,,,
2007,경기도,,126648,1.361,296915.0,,,,,
2007,경상남도,,33313,1.434,91195.0,,,,,
2007,경상북도,,25062,1.369,70560.0,,,,,
2007,광주광역시,,14810,1.262,35726.0,,,,,
2007,대구광역시,,22295,1.137,61303.0,,,,,
2007,대전광역시,,15780,1.274,37599.0,,,,,
2007,부산광역시,,28426,1.024,99907.0,,,,,
2007,서울,,101249,1.068,258148.0,,,,,
2007,세종특별자치시,,-,-,,,,,,
2007,울산광역시,,11955,1.403,32592.0,,,,,
2007,인천광역시,,26712,1.257,68746.0,,,,,
2007,전라남도,,17844,1.542,56827.0,,,,,
2007,전북특별자치도,,17228,1.380,55145.0,,,,,
2007,제주특별자치도,,6178,1.489,14139.0,,,,,
2007,충청남도,,20630,1.506,57463.0,,,,,
2007,충청북도,,15002,1.398,41307.0,,,,,
2008,강원특별자치도,,12373,1.253,40632.0,,,,,
2008,경기도,,119397,1.285,307477.0,,,,,
2008,경상남도,,31493,1.368,90540.0,,,,,
2008,경상북도,,23538,1.313,68869.0,,,,,
2008,광주광역시,,13890,1.198,36877.0,,,,,
2008,대구광역시,,20562,1.072,62424.0,,,,,
2008,대전광역시,,14856,1.215,38897.0,,,,,
2008,부산광역시,,26670,0.980,100227.0,,,,,
2008,서울,,94736,1.010,264974.0,,,,,
2008,세종특별자치시,,-,-,,,,,,
2008,울산광역시,,11365,1.338,34733.0,,,,,
2008,인천광역시,,25365,1.186,71924.0,,,,,
2008,전라남도,,16363,1.449,54324.0,,,,,
2008,전북특별자치도,,15878,1.305,53519.0,,,,,
2008,제주특별자치도,,5593,1.386,13283.0,,,,,
2008,충청남도,,19749,1.444,56336.0,,,,,
2008,충청북도,,14064,1.319,40661.0,,,,,
2009,강원특별자치도,,12112,1.248,43778.0,,,,,
2009,경기도,,113692,1.226,337176.0,,,,,
2009,경상남도,,30320,1.323,100863.0,,,,,
2009,경상북도,,22373,1.274,75490.0,,,,,
2009,광주광역시,,13101,1.137,40576.0,,,,,
2009,대구광역시,,19399,1.029,69423.0,,,,,
2009,대전광역시,,13915,1.156,40977.0,,,,,
2009,부산광역시,,25110,0.940,109483.0,,,,,
2009,서울,,89594,0.962,286885.0,,,,,
2009,세종특별자치시,,-,-,,,,,,
2009,울산광역시,,11033,1.308,38337.0,,,,,
2009,인천광역시,,24379,1.143,79631.0,,,,,
2009,전라남도,,15995,1.445,58542.0,,,,,
2009,전북특별자치도,,15233,1.279,56255.0,,,,,
2009,제주특별자치도,,5433,1.378,14623.0,,,,,
2009,충청남도,,19257,1.408,61043.0,,,,,
2009,충청북도,,13903,1.317,45147.0,,,,,
2010,강원특별자치도,,12477,1.313,43690.0,,,,,
2010,경기도,,121753,1.309,346764.0,,,,,
2010,경상남도,,32203,1.413,101676.0,,,,,
2010,경상북도,,23700,1.377,76885.0,,,,,
2010,광주광역시,,13979,1.223,41197.0,,,,,
2010,대구광역시,,20557,1.109,69532.0,,,,,
2010,대전광역시,,14314,1.205,42641.0,,,,,
2010,부산광역시,,27415,1.045,111367.0,,,,,
2010,서울,,93266,1.015,289100.0,,,,,
2010,세종특별자치시,,-,-,,,,,,
2010,울산광역시,,11432,1.369,38265.0,,,,,
2010,인천광역시,,25752,1.214,81794.0,,,,,
2010,전라남도,,16654,1.537,58054.0,,,,,
2010,전북특별자치도,,16100,1.374,56279.0,,,,,
2010,제주특별자치도,,5657,1.463,14688.0,,,,,
2010,충청남도,,20242,1.479,62433.0,,,,,
2010,충청북도,,14670,1.402,47070.0,,,,,
2011,강원특별자치도,,12408,1.338,42356.0,,,,,
2011,경기도,,122027,1.314,338093.0,,,,,
2011,경상남도,,32536,1.446,99692.0,,,,,
2011,경상북도,,24250,1.434,76832.0,,,,,
2011,광주광역시,,13916,1.234,40529.0,,,,,
2011,대구광역시,,20758,1.146,65769.0,,,,,
2011,대전광역시,,14808,1.261,40880.0,,,,,
2011,부산광역시,,27759,1.078,109703.0,,,,,
2011,서울,,91526,1.014,275956.0,,,,,
2011,세종특별자치시,,-,-,,,,,,
2011,울산광역시,,11542,1.393,36862.0,,,,,
2011,인천광역시,,26118,1.232,79437.0,,,,,
2011,전라남도,,16612,1.568,58166.0,,,,,
2011,전북특별자치도,,16175,1.405,54987.0,,,,,
2011,제주특별자치도,,5628,1.487,14315.0,,,,,
2011,충청남도,,20398,1.496,60917.0,,,,,
2011,충청북도,,14804,1.428,46843.0,,,,,
2012,강원특별자치도,,12426,1.374,47112.0,,,,,
2012,경기도,,124746,1.355,333152.0,,,,,
2012,경상남도,,33211,1.503,109474.0,,,,,
2012,경상북도,,24635,1.489,87551.0,,,,,
2012,광주광역시,,14392,1.295,43139.0,,,,,
2012,대구광역시,,21472,1.217,69875.0,,,,,
2012,대전광역시,,15279,1.315,41554.0,,,,,
2012,부산광역시,,28673,1.135,121829.0,,,,,
2012,서울,,93914,1.059,270958.0,,,,,
2012,세종특별자치시,,1054,1.597,3521.0,,,,,
2012,울산광역시,,12160,1.481,34095.0,,,,,
2012,인천광역시,,27781,1.301,82080.0,,,,,
2012,전라남도,,16990,1.642,70203.0,,,,,
2012,전북특별자치도,,16238,1.440,63788.0,,,,,
2012,제주특별자치도,,5992,1.598,16501.0,,,,,
2012,충청남도,,20448,1.571,66762.0,,,,,
2012,충청북도,,15139,1.485,51180.0,,,,,
2013,강원특별자치도,,10980,1.249서울,46965.0,,,,,
2013,경기도,,112129,1.226,328804.0,,,,,
2013,경상남도,,29504,1.367,108223.0,,,,,
2013,경상북도,,22206,1.379,87457.0,,,,,
2013,광주광역시,,12729,1.170,42083.0,,,,,
2013,대구광역시,,19340,1.127,69073.0,,,,,
2013,대전광역시,,14099,1.234,40602.0,,,,,
2013,부산광역시,,25831,1.049,120189.0,,,,,
2013,서울,,84066,0.968,260847.0,,,,,
2013,세종특별자치시,,1111,1.435,3694.0,,,,,
2013,울산광역시,,11330,1.391,34128.0,,,,,
2013,인천광역시,,25560,1.195,82035.0,,,,,
2013,전라남도,,15401,1.518,71981.0,,,,,
2013,전북특별자치도,,14555,1.320,63630.0,,,,,
2013,제주특별자치도,,5328,1.427,16464.0,,,,,
2013,충청남도,,18628,1.442,68917.0,,,,,
2013,충청북도,,13658,1.365,51323.0,,,,,
2014,강원특별자치도,,10662,1.248,47170.0,,,,,
2014,경기도,,112169,1.241,329869.0,,,,,
2014,경상남도,,29763,1.409,108357.0,,,,,
2014,경상북도,,22062,1.408,86600.0,,,,,
2014,광주광역시,,12729,1.199,42013.0,,,,,
2014,대구광역시,,19361,1.169,68644.0,,,,,
2014,대전광역시,,13962,1.250,40539.0,,,,,
2014,부산광역시,,26190,1.090,120817.0,,,,,
2014,서울,,83711,0.983,260058.0,,,,,
2014,세종특별자치시,,1344,1.354,4590.0,,,,,
2014,울산광역시,,11556,1.437,34048.0,,,,,
2014,인천광역시,,25786,1.212,82815.0,,,,,
2014,전라남도,,14817,1.497,71254.0,,,,,
2014,전북특별자치도,,14231,1.329,63924.0,,,,,
2014,제주특별자치도,,5526,1.481,16815.0,,,,,
2014,충청남도,,18200,1.421,68243.0,,,,,
2014,충청북도,,13366,1.363,51287.0,,,,,
2015,강원특별자치도,1518040.0,10929,1.311,47107.0,,,,,
2015,경기도,12479061.0,113495,1.272,329788.0,,,,,
2015,경상남도,3334524.0,29537,1.437,109460.0,,,,,
2015,경상북도,2680294.0,22310,1.464,87253.0,,,,,
2015,광주광역시,1502881.0,12441,1.207,41614.0,,,,,
2015,대구광역시,2466052.0,19438,1.216,68402.0,,,,,
2015,대전광역시,1538394.0,13774,1.277,39498.0,,,,,
2015,부산광역시,3448737.0,26645,1.139,119230.0,,,,,
2015,서울,9904312.0,83005,1.001,254944.0,,,,,
2015,세종특별자치시,204088.0,2708,1.893,5754.0,,,,,
2015,울산광역시,1166615.0,11732,1.486,34212.0,,,,,
2015,인천광역시,2890451.0,25491,1.216,83102.0,,,,,
2015,전라남도,1799044.0,15061,1.549,70754.0,,,,,
2015,전북특별자치도,1834114.0,14087,1.352,63493.0,,,,,
2015,제주특별자치도,605619.0,5600,1.477,17400.0,,,,,
2015,충청남도,2107802.0,18604,1.480,68882.0,,,,,
2015,충청북도,1589347.0,13563,1.414,50499.0,,,,,
2016,강원특별자치도,1521751.0,10058,1.237,48741.0,,,,,
2016,경기도,12671956.0,105643,1.194,345014.0,,,,,
2016,경상남도,3339633.0,27138,1.358,110253.0,,,,,
2016,경상북도,2682169.0,20616,1.396,89239.0,,,,,
2016,광주광역시,1501557.0,11580,1.168,41196.0,,,,,
2016,대구광역시,2461002.0,18298,1.186,69649.0,,,,,
2016,대전광역시,1535445.0,12436,1.192,40892.0,,,,,
2016,부산광역시,3440484.0,24906,1.095,121970.0,,,,,
2016,서울,9805506.0,75536,0.940,259827.0,,,,,
2016,세종특별자치시,242507.0,3297,1.821,6700.0,,,,,
2016,울산광역시,1166033.0,10910,1.418,34966.0,,,,,
2016,인천광역시,2913024.0,23609,1.144,84974.0,,,,,
2016,전라남도,1796017.0,13980,1.466,72233.0,,,,,
2016,전북특별자치도,1833168.0,12698,1.251,65399.0,,,,,
2016,제주특별자치도,623332.0,5494,1.432,18806.0,,,,,
2016,충청남도,2132566.0,17302,1.395,71439.0,,,,,
2016,충청북도,1603404.0,12742,1.358,51456.0,,,,,
2017,강원특별자치도,1521386.0,8958,1.123,48342.0,,,,,
2017,경기도,12851601.0,94088,1.069,353402.0,,,,,
2017,경상남도,3345293.0,23849,1.227,110622.0,,,,,
2017,경상북도,2677058.0,17957,1.256,89982.0,,,,,
2017,광주광역시,1496172.0,10120,1.053,41305.0,,,,,
2017,대구광역시,2453041.0,15946,1.067,69920.0,,,,,
2017,대전광역시,1525849.0,10851,1.075,41609.0,,,,,
2017,부산광역시,3416918.0,21480,0.976,124608.0,,,,,
2017,서울,9741871.0,65389,0.836,263344.0,,,,,
2017,세종특별자치시,276589.0,3504,1.668,6923.0,,,,,
2017,울산광역시,1157077.0,9381,1.261,35341.0,,,,,
2017,인천광역시,2925967.0,20445,1.007,86683.0,,,,,
2017,전라남도,1792319.0,12354,1.325,70650.0,,,,,
2017,전북특별자치도,1826174.0,11348,1.151,65347.0,,,,,
2017,제주특별자치도,641757.0,5037,1.305,19281.0,,,,,
2017,충청남도,2162426.0,15670,1.276,71423.0,,,,,
2017,충청북도,1611009.0,11394,1.235,53040.0,,,,,
2018,강원특별자치도,1520391.0,8351,1.067,48976.0,,,,,
2018,경기도,13103188.0,88175,1.002,367057.0,,,,,
2018,경상남도,3350350.0,21224,1.122,109814.0,,,,,
2018,경상북도,2672902.0,16079,1.167,90246.0,,,,,
2018,광주광역시,1490092.0,9105,0.972,41251.0,,,,,
2018,대구광역시,2444412.0,14400,0.987,72021.0,,,,,
2018,대전광역시,1511214.0,9337,0.952,41655.0,,,,,
2018,부산광역시,3395278.0,19152,0.899,126795.0,,,,,
2018,서울,9673936.0,58074,0.761,266533.0,,,,,
2018,세종특별자치시,312374.0,3703,1.566,8107.0,,,,,
2018,울산광역시,1150116.0,8149,1.131,34831.0,,,,,
2018,인천광역시,2936117.0,20087,1.006,90544.0,,,,,
2018,전라남도,1790352.0,11238,1.240,70853.0,,,,,
2018,전북특별자치도,1818157.0,10001,1.044,65964.0,,,,,
2018,제주특별자치도,658282.0,4781,1.220,19826.0,,,,,
2018,충청남도,2181416.0,14380,1.186,72868.0,,,,,
2018,충청북도,1620935.0,10586,1.172,53089.0,,,,,
2019,강원특별자치도,1520127.0,8283,1.082,52035.0,,,,,
2019,경기도,13300900.0,83198,0.943,392793.0,,,,,
2019,경상남도,3347209.0,19250,1.046,113260.0,,,,,
2019,경상북도,2668154.0,14472,1.089,93359.0,,,,,
2019,광주광역시,1489730.0,8364,0.913,43189.0,,,,,
2019,대구광역시,2429940.0,13233,0.932,75548.0,,,,,
2019,대전광역시,1498839.0,8410,0.883,44009.0,,,,,
2019,부산광역시,3372692.0,17049,0.827,131754.0,,,,,
2019,서울,9639541.0,53673,0.717,284068.0,,,,,
2019,세종특별자치시,338136.0,3819,1.472,9134.0,,,,,
2019,울산광역시,1143692.0,7539,1.084,35978.0,,,,,
2019,인천광역시,2952237.0,18522,0.940,94205.0,,,,,
2019,전라남도,1787543.0,10832,1.234,74626.0,,,,,
2019,전북특별자치도,1807423.0,8971,0.971,68720.0,,,,,
2019,제주특별자치도,665048.0,4500,1.145,20563.0,,,,,
2019,충청남도,2188649.0,13228,1.112,76397.0,,,,,
2019,충청북도,1629343.0,9333,1.050,55986.0,,,,,
2020,강원특별자치도,1521763.0,7835,1.036,48687.0,24.4,40.6,30.3,4.5,0.2
2020,경기도,13511676.0,77737,0.878,385556.0,14.7,39.2,37.8,8.1,0.3
2020,경상남도,3333056.0,16823,0.945,109657.0,15.8,42.5,32.8,8.5,0.4
2020,경상북도,2644757.0,12873,1.003,85493.0,11.4,44.3,38.4,5.3,0.5
2020,광주광역시,1477573.0,7318,0.811,41676.0,15.4,44.5,33.7,6.5,-
2020,대구광역시,2410700.0,11193,0.807,70830.0,14.6,42.5,36.6,6.3,-
2020,대전광역시,1488435.0,7481,0.805,41712.0,19.9,41.9,28.5,8.5,1.2
2020,부산광역시,3349016.0,15058,0.747,127807.0,20.2,44.0,30.3,5.4,0.1
2020,서울,9586195.0,47445,0.642,273217.0,19.8,38.5,36.7,4.7,0.3
2020,세종특별자치시,353933.0,3468,1.277,8992.0,16.9,46.5,29.1,7.1,0.4
2020,울산광역시,1135423.0,6617,0.984,34394.0,16.4,44.4,35.3,3.3,0.7
2020,인천광역시,2945454.0,16040,0.829,91027.0,19.5,38.6,38.1,3.4,0.3
2020,전라남도,1788807.0,9738,1.145,70102.0,18.0,45.5,28.5,7.6,0.3
2020,전북특별자치도,1802766.0,8165,0.909,66022.0,19.0,43.5,31.6,5.8,0.1
2020,제주특별자치도,670858.0,3989,1.021,19437.0,15.9,38.9,40.2,4.9,0.1
2020,충청남도,2176636.0,11950,1.029,70644.0,16.0,37.6,39.8,6.2,0.4
2020,충청북도,1632088.0,8607,0.983,53332.0,15.4,40.2,36.4,7.4,0.6
2021,강원특별자치도,1521890.0,7357,0.979,51767.0,,,,,
2021,경기도,13652529.0,76139,0.853,409156.0,,,,,
2021,경상남도,3305931.0,15562,0.903,116085.0,,,,,
2021,경상북도,2635314.0,12045,0.966,92162.0,,,,,
2021,광주광역시,1475262.0,7956,0.896,43949.0,,,,,
2021,대구광역시,2387911.0,10661,0.785,75772.0,,,,,
2021,대전광역시,1479740.0,7414,0.810,43703.0,,,,,
2021,부산광역시,3324335.0,14446,0.728,134591.0,,,,,
2021,서울,9472127.0,45531,0.626,283350.0,,,,,
2021,세종특별자치시,366227.0,3570,1.277,9575.0,,,,,
2021,울산광역시,1120753.0,6127,0.940,35309.0,,,,,
2021,인천광역시,2957044.0,14947,0.778,95041.0,,,,,
2021,전라남도,1778124.0,8430,1.017,73692.0,,,,,
2021,전북특별자치도,1787053.0,7475,0.850,67152.0,,,,,
2021,제주특별자치도,673107.0,3728,0.951,20043.0,,,,,
2021,충청남도,2175960.0,10984,0.963,74896.0,,,,,
2021,충청북도,1624764.0,8190,0.949,55297.0,,,,,
2022,강원특별자치도,1528037.0,7278,0.968,52612.0,21.0,45.0,30.4,3.6,0.1
2022,경기도,13717827.0,75323,0.839,412095.0,15.1,40.9,39.4,4.5,0.2
2022,경상남도,3280829.0,14017,0.838,113879.0,17.4,46.2,32.8,3.3,0.2
2022,경상북도,2620373.0,11311,0.930,91023.0,14.7,48.1,32.2,4.7,0.3
2022,광주광역시,1468972.0,7446,0.844,43591.0,17.8,43.5,32.5,5.8,0.3
2022,대구광역시,2366852.0,10134,0.757,74506.0,16.6,41.8,37.5,4.1,0.1
2022,대전광역시,1473662.0,7677,0.842,44153.0,17.8,52.1,27.8,2.3,-
2022,부산광역시,3295760.0,14134,0.723,129471.0,18.7,50.2,26.8,4.3,-
2022,서울,9417469.0,42602,0.593,281945.0,15.6,45.5,33.7,5.0,0.1
2022,세종특별자치시,382589.0,3209,1.121,10077.0,16.3,43.1,37.3,3.1,0.2
2022,울산광역시,1110516.0,5399,0.848,34612.0,13.5,44.3,37.5,4.1,0.6
2022,인천광역시,2989125.0,14464,0.747,94855.0,19.9,35.4,41.1,3.5,0.1
2022,전라남도,1771431.0,7888,0.969,73281.0,23.5,43.9,27.9,4.5,0.3
2022,전북특별자치도,1774248.0,7032,0.817,65846.0,15.9,48.5,32.0,3.6,0.1
2022,제주특별자치도,676375.0,3599,0.919,19568.0,14.0,46.4,34.5,4.5,0.6
2022,충청남도,2193214.0,10221,0.909,75137.0,18.7,37.3,39.3,3.5,1.3
2022,충청북도,1624993.0,7452,0.871,55541.0,17.7,44.2,32.9,5.2,-
2023,강원특별자치도,1528014.0,6688,0.893,,,,,,
2023,경기도,13815367.0,68817,0.766,,,,,,
2023,경상남도,3271148.0,13049,0.799,,,,,,
2023,경상북도,2589880.0,10186,0.860,,,,,,
2023,광주광역시,1457090.0,6172,0.706,,,,,,
2023,대구광역시,2379188.0,9410,0.702,,,,,,
2023,대전광역시,1470336.0,7194,0.787,,,,,,
2023,부산광역시,3279604.0,12866,0.664,,,,,,
2023,서울,9384512.0,39456,0.552,,,,,,
2023,세종특별자치시,386261.0,2761,0.971,,,,,,
2023,울산광역시,1107432.0,5082,0.814,,,,,,
2023,인천광역시,3025950.0,13659,0.694,,,,,,
2023,전라남도,1776668.0,7828,0.972,,,,,,
2023,전북특별자치도,1768491.0,6622,0.780,,,,,,
2023,제주특별자치도,676767.0,3222,0.827,,,,,,
2023,충청남도,2216332.0,9436,0.842,,,,,,
2023,충청북도,1641481.0,7580,0.886,,,,,,
