시점,근로시간,지역별
2017.04,1953.9,광주
2017.05,1957.6,광주
2017.06,1961.3,광주
2017.07,1965.0,광주
2017.08,1968.7,광주
2017.09,1972.4,광주
2017.10,1976.1,광주
2017.11,1979.8,광주
2017.12,1983.5,광주
2018.01,1987.2,광주
2018.02,1993.1,광주
2018.03,1999.0,광주
2018.04,2004.9,광주
2018.05,2010.8,광주
2018.06,2016.7,광주
2018.07,2022.6,광주
2018.08,2028.5,광주
2018.09,2034.4,광주
2018.10,2040.3,광주
2018.11,2046.2,광주
2018.12,2052.1,광주
2019.01,2058.0,광주
2019.02,1899.3,광주
2019.03,1740.6,광주
2019.04,1581.9,광주
2019.05,1423.2,광주
2019.06,1264.5,광주
2019.07,1105.8,광주
2019.08,947.1,광주
2019.09,788.4,광주
2019.10,629.7,광주
2019.11,471.0,광주
2019.12,312.3,광주
2020.01,153.6,광주
2020.02,154.6,광주
2020.03,155.6,광주
2020.04,156.6,광주
2020.05,157.6,광주
2020.06,158.6,광주
2020.07,159.6,광주
2020.08,160.6,광주
2020.09,161.6,광주
2020.10,162.6,광주
2020.11,163.6,광주
2020.12,164.6,광주
2021.01,165.6,광주
2021.02,165.0,광주
2021.03,164.4,광주
2021.04,163.8,광주
2021.05,163.2,광주
2021.06,162.6,광주
2021.07,162.0,광주
2021.08,161.4,광주
2021.09,160.8,광주
2021.10,160.2,광주
2021.11,159.6,광주
2021.12,159.0,광주
2022.01,158.4,광주
2022.02,158.1,광주
2022.03,157.8,광주
2022.04,157.5,광주
2022.05,157.2,광주
2022.06,156.9,광주
2022.07,156.6,광주
2022.08,156.3,광주
2022.09,156.0,광주
2022.10,155.7,광주
2022.11,155.4,광주
2022.12,155.1,광주
2023.01,154.8,광주
2011.01,2150.4,대구
2011.02,2144.6,대구
2011.03,2138.8,대구
2011.04,2133.0,대구
2011.05,2127.2,대구
2011.06,2121.4,대구
2011.07,2115.6,대구
2011.08,2109.8,대구
2011.09,2104.0,대구
2011.10,2098.2,대구
2011.11,2092.4,대구
2011.12,2086.6,대구
2012.01,2080.8,대구
2012.02,2087.3,대구
2012.03,2093.8,대구
2012.04,2100.3,대구
2012.05,2106.8,대구
2012.06,2113.3,대구
2012.07,2119.8,대구
2012.08,2126.3,대구
2012.09,2132.8,대구
2012.10,2139.3,대구
2012.11,2145.8,대구
2012.12,2152.3,대구
2013.01,2158.8,대구
2013.02,2157.1,대구
2013.03,2155.4,대구
2013.04,2153.7,대구
2013.05,2152.0,대구
2013.06,2150.3,대구
2013.07,2148.6,대구
2013.08,2146.9,대구
2013.09,2145.2,대구
2013.10,2143.5,대구
2013.11,2141.8,대구
2013.12,2140.1,대구
2014.01,2138.4,대구
2014.02,2137.0,대구
2014.03,2135.6,대구
2014.04,2134.2,대구
2014.05,2132.8,대구
2014.06,2131.4,대구
2014.07,2130.0,대구
2014.08,2128.6,대구
2014.09,2127.2,대구
2014.10,2125.8,대구
2014.11,2124.4,대구
2014.12,2123.0,대구
2015.01,2121.6,대구
2015.02,2110.4,대구
2015.03,2099.2,대구
2015.04,2088.0,대구
2015.05,2076.8,대구
2015.06,2065.6,대구
2015.07,2054.4,대구
2015.08,2043.2,대구
2015.09,2032.0,대구
2015.10,2020.8,대구
2015.11,2009.6,대구
2015.12,1998.4,대구
2016.01,1987.2,대구
2016.02,1984.8,대구
2016.03,1982.4,대구
2016.04,1980.0,대구
2016.05,1977.6,대구
2016.06,1975.2,대구
2016.07,1972.8,대구
2016.08,1970.4,대구
2016.09,1968.0,대구
2016.10,1965.6,대구
2016.11,1963.2,대구
2016.12,1960.8,대구
2017.01,1958.4,대구
2017.02,1962.0,대구
2017.03,1965.6,대구
2017.04,1969.2,대구
2017.05,1972.8,대구
2017.06,1976.4,대구
2017.07,1980.0,대구
2017.08,1983.6,대구
2017.09,1987.2,대구
2017.10,1990.8,대구
2017.11,1994.4,대구
2017.12,1998.0,대구
2018.01,2001.6,대구
2018.02,2007.4,대구
2018.03,2013.2,대구
2018.04,2019.0,대구
2018.05,2024.8,대구
2018.06,2030.6,대구
2018.07,2036.4,대구
2018.08,2042.2,대구
2018.09,2048.0,대구
2018.10,2053.8,대구
2018.11,2059.6,대구
2018.12,2065.4,대구
2019.01,2071.2,대구
2019.02,1911.2,대구
2019.03,1751.2,대구
2019.04,1591.2,대구
2019.05,1431.2,대구
2019.06,1271.2,대구
2019.07,1111.2,대구
2019.08,951.2,대구
2019.09,791.2,대구
2019.10,631.2,대구
2019.11,471.2,대구
2019.12,311.2,대구
2020.01,151.2,대구
2020.02,152.5,대구
2020.03,153.8,대구
2020.04,155.1,대구
2020.05,156.4,대구
2020.06,157.7,대구
2020.07,159.0,대구
2020.08,160.3,대구
2020.09,161.6,대구
2020.10,162.9,대구
2020.11,164.2,대구
2020.12,165.5,대구
2021.01,166.8,대구
2021.02,166.2,대구
2021.03,165.6,대구
2021.04,165.0,대구
2021.05,164.4,대구
2021.06,163.8,대구
2021.07,163.2,대구
2021.08,162.6,대구
2021.09,162.0,대구
2021.10,161.4,대구
2021.11,160.8,대구
2021.12,160.2,대구
2022.01,159.6,대구
2022.02,159.1,대구
2022.03,158.6,대구
2022.04,158.1,대구
2022.05,157.6,대구
2022.06,157.1,대구
2022.07,156.6,대구
2022.08,156.1,대구
2022.09,155.6,대구
2022.10,155.1,대구
2022.11,154.6,대구
2022.12,154.1,대구
2023.01,153.6,대구
2011.01,2076.0,대전
2011.02,2070.5,대전
2011.03,2065.0,대전
2011.04,2059.5,대전
2011.05,2054.0,대전
2011.06,2048.5,대전
2011.07,2043.0,대전
2011.08,2037.5,대전
2011.09,2032.0,대전
2011.10,2026.5,대전
2011.11,2021.0,대전
2011.12,2015.5,대전
2012.01,2010.0,대전
2012.02,2020.3,대전
2012.03,2030.6,대전
2012.04,2040.9,대전
2012.05,2051.2,대전
2012.06,2061.5,대전
2012.07,2071.8,대전
2012.08,2082.1,대전
2012.09,2092.4,대전
2012.10,2102.7,대전
2012.11,2113.0,대전
2012.12,2123.3,대전
2013.01,2133.6,대전
2013.02,2131.2,대전
2013.03,2128.8,대전
2013.04,2126.4,대전
2013.05,2124.0,대전
2013.06,2121.6,대전
2013.07,2119.2,대전
2013.08,2116.8,대전
2013.09,2114.4,대전
2013.10,2112.0,대전
2013.11,2109.6,대전
2013.12,2107.2,대전
2014.01,2104.8,대전
2014.02,2105.6,대전
2014.03,2106.4,대전
2014.04,2107.2,대전
2014.05,2108.0,대전
2014.06,2108.8,대전
2014.07,2109.6,대전
2014.08,2110.4,대전
2014.09,2111.2,대전
2014.10,2112.0,대전
2014.11,2112.8,대전
2014.12,2113.6,대전
2015.01,2114.4,대전
2015.02,2100.5,대전
2015.03,2086.6,대전
2015.04,2072.7,대전
2015.05,2058.8,대전
2015.06,2044.9,대전
2015.07,2031.0,대전
2015.08,2017.1,대전
2015.09,2003.2,대전
2015.10,1989.3,대전
2015.11,1975.4,대전
2015.12,1961.5,대전
2016.01,1947.6,대전
2016.02,1945.3,대전
2016.03,1943.0,대전
2016.04,1940.7,대전
2016.05,1938.4,대전
2016.06,1936.1,대전
2016.07,1933.8,대전
2016.08,1931.5,대전
2016.09,1929.2,대전
2016.10,1926.9,대전
2016.11,1924.6,대전
2016.12,1922.3,대전
2017.01,1920.0,대전
2017.02,1922.8,대전
2017.03,1925.6,대전
2017.04,1928.4,대전
2017.05,1931.2,대전
2017.06,1934.0,대전
2017.07,1936.8,대전
2017.08,1939.6,대전
2017.09,1942.4,대전
2017.10,1945.2,대전
2017.11,1948.0,대전
2017.12,1950.8,대전
2018.01,1953.6,대전
2018.02,1959.7,대전
2018.03,1965.8,대전
2018.04,1971.9,대전
2018.05,1978.0,대전
2018.06,1984.1,대전
2018.07,1990.2,대전
2018.08,1996.3,대전
2018.09,2002.4,대전
2018.10,2008.5,대전
2018.11,2014.6,대전
2018.12,2020.7,대전
2019.01,2026.8,대전
2019.02,1870.7,대전
2019.03,1714.6,대전
2019.04,1558.5,대전
2019.05,1402.4,대전
2019.06,1246.3,대전
2019.07,1090.2,대전
2019.08,934.1,대전
2019.09,778.0,대전
2019.10,621.9,대전
2019.11,465.8,대전
2019.12,309.7,대전
2020.01,153.6,대전
2020.02,154.8,대전
2020.03,156.0,대전
2020.04,157.2,대전
2020.05,158.4,대전
2020.06,159.6,대전
2020.07,160.8,대전
2020.08,162.0,대전
2020.09,163.2,대전
2020.10,164.4,대전
2020.11,165.6,대전
2020.12,166.8,대전
2021.01,168.0,대전
2021.02,167.2,대전
2021.03,166.4,대전
2021.04,165.6,대전
2021.05,164.8,대전
2021.06,164.0,대전
2021.07,163.2,대전
2021.08,162.4,대전
2021.09,161.6,대전
2021.10,160.8,대전
2021.11,160.0,대전
2021.12,159.2,대전
2022.01,158.4,대전
2022.02,158.0,대전
2022.03,157.6,대전
2022.04,157.2,대전
2022.05,156.8,대전
2022.06,156.4,대전
2022.07,156.0,대전
2022.08,155.6,대전
2022.09,155.2,대전
2022.10,154.8,대전
2022.11,154.4,대전
2022.12,154.0,대전
2023.01,153.6,대전
2011.01,2119.2,부산
2011.02,2110.7,부산
2011.03,2102.2,부산
2011.04,2093.7,부산
2011.05,2085.2,부산
2011.06,2076.7,부산
2011.07,2068.2,부산
2011.08,2059.7,부산
2011.09,2051.2,부산
2011.10,2042.7,부산
2011.11,2034.2,부산
2011.12,2025.7,부산
2012.01,2017.2,부산
2012.02,2028.0,부산
2012.03,2038.8,부산
2012.04,2049.6,부산
2012.05,2060.4,부산
2012.06,2071.2,부산
2012.07,2082.0,부산
2012.08,2092.8,부산
2012.09,2103.6,부산
2012.10,2114.4,부산
2012.11,2125.2,부산
2012.12,2136.0,부산
2013.01,2146.8,부산
2013.02,2146.3,부산
2013.03,2145.8,부산
2013.04,2145.3,부산
2013.05,2144.8,부산
2013.06,2144.3,부산
2013.07,2143.8,부산
2013.08,2143.3,부산
2013.09,2142.8,부산
2013.10,2142.3,부산
2013.11,2141.8,부산
2013.12,2141.3,부산
2014.01,2140.8,부산
2014.02,2139.8,부산
2014.03,2138.8,부산
2014.04,2137.8,부산
2014.05,2136.8,부산
2014.06,2135.8,부산
2014.07,2134.8,부산
2014.08,2133.8,부산
2014.09,2132.8,부산
2014.10,2131.8,부산
2014.11,2130.8,부산
2014.12,2129.8,부산
2015.01,2128.8,부산
2015.02,2119.0,부산
2015.03,2109.2,부산
2015.04,2099.4,부산
2015.05,2089.6,부산
2015.06,2079.8,부산
2015.07,2070.0,부산
2015.08,2060.2,부산
2015.09,2050.4,부산
2015.10,2040.6,부산
2015.11,2030.8,부산
2015.12,2021.0,부산
2016.01,2011.2,부산
2016.02,2008.6,부산
2016.03,2006.0,부산
2016.04,2003.4,부산
2016.05,2000.8,부산
2016.06,1998.2,부산
2016.07,1995.6,부산
2016.08,1993.0,부산
2016.09,1990.4,부산
2016.10,1987.8,부산
2016.11,1985.2,부산
2016.12,1982.6,부산
2017.01,1980.0,부산
2017.02,1982.3,부산
2017.03,1984.6,부산
2017.04,1986.9,부산
2017.05,1989.2,부산
2017.06,1991.5,부산
2017.07,1993.8,부산
2017.08,1996.1,부산
