시점,인구밀집도,지역별
2021.05,1340.900,경기
2021.06,1341.400,경기
2021.07,1341.900,경기
2021.08,1342.400,경기
2021.09,1342.900,경기
2021.10,1343.400,경기
2021.11,1343.900,경기
2021.12,1344.400,경기
2022.01,1344.900,경기
2022.02,1345.700,경기
2022.03,1346.500,경기
2022.04,1347.300,경기
2022.05,1348.100,경기
2022.06,1348.900,경기
2022.07,1349.700,경기
2022.08,1350.500,경기
2022.09,1351.300,경기
2022.10,1352.100,경기
2022.11,1352.900,경기
2022.12,1353.700,경기
2023.01,1354.500,경기
2015.01,457.200,경상
2015.02,457.250,경상
2015.03,457.300,경상
2015.04,457.350,경상
2015.05,457.400,경상
2015.06,457.450,경상
2015.07,457.500,경상
2015.08,457.550,경상
2015.09,457.600,경상
2015.10,457.650,경상
2015.11,457.700,경상
2015.12,457.750,경상
2016.01,457.800,경상
2016.02,457.825,경상
2016.03,457.850,경상
2016.04,457.875,경상
2016.05,457.900,경상
2016.06,457.925,경상
2016.07,457.950,경상
2016.08,457.975,경상
2016.09,458.000,경상
2016.10,458.025,경상
2016.11,458.050,경상
2016.12,458.075,경상
2017.01,458.100,경상
2017.02,458.117,경상
2017.03,458.133,경상
2017.04,458.150,경상
2017.05,458.167,경상
2017.06,458.183,경상
2017.07,458.200,경상
2017.08,458.217,경상
2017.09,458.233,경상
2017.10,458.250,경상
2017.11,458.267,경상
2017.12,458.283,경상
2018.01,458.300,경상
2018.02,458.258,경상
2018.03,458.217,경상
2018.04,458.175,경상
2018.05,458.133,경상
2018.06,458.092,경상
2018.07,458.050,경상
2018.08,458.008,경상
2018.09,457.967,경상
2018.10,457.925,경상
2018.11,457.883,경상
2018.12,457.842,경상
2019.01,457.800,경상
2019.02,457.575,경상
2019.03,457.350,경상
2019.04,457.125,경상
2019.05,456.900,경상
2019.06,456.675,경상
2019.07,456.450,경상
2019.08,456.225,경상
2019.09,456.000,경상
2019.10,455.775,경상
2019.11,455.550,경상
2019.12,455.325,경상
2020.01,455.100,경상
2020.02,454.842,경상
2020.03,454.583,경상
2020.04,454.325,경상
2020.05,454.067,경상
2020.06,453.808,경상
2020.07,453.550,경상
2020.08,453.292,경상
2020.09,453.033,경상
2020.10,452.775,경상
2020.11,452.517,경상
2020.12,452.258,경상
2021.01,452.000,경상
2021.02,451.742,경상
2021.03,451.483,경상
2021.04,451.225,경상
2021.05,450.967,경상
2021.06,450.708,경상
2021.07,450.450,경상
2021.08,450.192,경상
2021.09,449.933,경상
2021.10,449.675,경상
2021.11,449.417,경상
2021.12,449.158,경상
2022.01,448.900,경상
2022.02,449.067,경상
2022.03,449.233,경상
2022.04,449.400,경상
2022.05,449.567,경상
2022.06,449.733,경상
2022.07,449.900,경상
2022.08,450.067,경상
2022.09,450.233,경상
2022.10,450.400,경상
2022.11,450.567,경상
2022.12,450.733,경상
2023.01,450.900,경상
2015.01,2998.800,광주
2015.02,2998.542,광주
2015.03,2998.283,광주
2015.04,2998.025,광주
2015.05,2997.767,광주
2015.06,2997.508,광주
2015.07,2997.250,광주
2015.08,2996.992,광주
2015.09,2996.733,광주
2015.10,2996.475,광주
2015.11,2996.217,광주
2015.12,2995.958,광주
2016.01,2995.700,광주
2016.02,2994.833,광주
2016.03,2993.967,광주
2016.04,2993.100,광주
2016.05,2992.233,광주
2016.06,2991.367,광주
2016.07,2990.500,광주
2016.08,2989.633,광주
2016.09,2988.767,광주
2016.10,2987.900,광주
2016.11,2987.033,광주
2016.12,2986.167,광주
2017.01,2985.300,광주
2017.02,2984.292,광주
2017.03,2983.283,광주
2017.04,2982.275,광주
2017.05,2981.267,광주
2017.06,2980.258,광주
2017.07,2979.250,광주
2017.08,2978.242,광주
2017.09,2977.233,광주
2017.10,2976.225,광주
2017.11,2975.217,광주
2017.12,2974.208,광주
2018.01,2973.200,광주
2018.02,2973.158,광주
2018.03,2973.117,광주
2018.04,2973.075,광주
2018.05,2973.033,광주
2018.06,2972.992,광주
2018.07,2972.950,광주
2018.08,2972.908,광주
2018.09,2972.867,광주
2018.10,2972.825,광주
2018.11,2972.783,광주
2018.12,2972.742,광주
2019.01,2972.700,광주
2019.02,2970.683,광주
2019.03,2968.667,광주
2019.04,2966.650,광주
2019.05,2964.633,광주
2019.06,2962.617,광주
2019.07,2960.600,광주
2019.08,2958.583,광주
2019.09,2956.567,광주
2019.10,2954.550,광주
2019.11,2952.533,광주
2019.12,2950.517,광주
2020.01,2948.500,광주
2020.02,2948.125,광주
2020.03,2947.750,광주
2020.04,2947.375,광주
2020.05,2947.000,광주
2020.06,2946.625,광주
2020.07,2946.250,광주
2020.08,2945.875,광주
2020.09,2945.500,광주
2020.10,2945.125,광주
2020.11,2944.750,광주
2020.12,2944.375,광주
2021.01,2944.000,광주
2021.02,2942.992,광주
2021.03,2941.983,광주
2021.04,2940.975,광주
2021.05,2939.967,광주
2021.06,2938.958,광주
2021.07,2937.950,광주
2021.08,2936.942,광주
2021.09,2935.933,광주
2021.10,2934.925,광주
2021.11,2933.917,광주
2021.12,2932.908,광주
2022.01,2931.900,광주
2022.02,2929.950,광주
2022.03,2928.000,광주
2022.04,2926.050,광주
2022.05,2924.100,광주
2022.06,2922.150,광주
2022.07,2920.200,광주
2022.08,2918.250,광주
2022.09,2916.300,광주
2022.10,2914.350,광주
2022.11,2912.400,광주
2022.12,2910.450,광주
2023.01,2908.500,광주
2015.01,2791.000,대구
2015.02,2790.525,대구
2015.03,2790.050,대구
2015.04,2789.575,대구
2015.05,2789.100,대구
2015.06,2788.625,대구
2015.07,2788.150,대구
2015.08,2787.675,대구
2015.09,2787.200,대구
2015.10,2786.725,대구
2015.11,2786.250,대구
2015.12,2785.775,대구
2016.01,2785.300,대구
2016.02,2784.542,대구
2016.03,2783.783,대구
2016.04,2783.025,대구
2016.05,2782.267,대구
2016.06,2781.508,대구
2016.07,2780.750,대구
2016.08,2779.992,대구
2016.09,2779.233,대구
2016.10,2778.475,대구
2016.11,2777.717,대구
2016.12,2776.958,대구
2017.01,2776.200,대구
2017.02,2775.408,대구
2017.03,2774.617,대구
2017.04,2773.825,대구
2017.05,2773.033,대구
2017.06,2772.242,대구
2017.07,2771.450,대구
2017.08,2770.658,대구
2017.09,2769.867,대구
2017.10,2769.075,대구
2017.11,2768.283,대구
2017.12,2767.492,대구
2018.01,2766.700,대구
2018.02,2765.333,대구
2018.03,2763.967,대구
2018.04,2762.600,대구
2018.05,2761.233,대구
2018.06,2759.867,대구
2018.07,2758.500,대구
2018.08,2757.133,대구
2018.09,2755.767,대구
2018.10,2754.400,대구
2018.11,2753.033,대구
2018.12,2751.667,대구
2019.01,2750.300,대구
2019.02,2748.492,대구
2019.03,2746.683,대구
2019.04,2744.875,대구
2019.05,2743.067,대구
2019.06,2741.258,대구
2019.07,2739.450,대구
2019.08,2737.642,대구
2019.09,2735.833,대구
2019.10,2734.025,대구
2019.11,2732.217,대구
2019.12,2730.408,대구
2020.01,2728.600,대구
2020.02,2726.400,대구
2020.03,2724.200,대구
2020.04,2722.000,대구
2020.05,2719.800,대구
2020.06,2717.600,대구
2020.07,2715.400,대구
2020.08,2713.200,대구
2020.09,2711.000,대구
2020.10,2708.800,대구
2020.11,2706.600,대구
2020.12,2704.400,대구
2021.01,2702.200,대구
2021.02,2699.825,대구
2021.03,2697.450,대구
2021.04,2695.075,대구
2021.05,2692.700,대구
2021.06,2690.325,대구
2021.07,2687.950,대구
2021.08,2685.575,대구
2021.09,2683.200,대구
2021.10,2680.825,대구
2021.11,2678.450,대구
2021.12,2676.075,대구
2022.01,2673.700,대구
2022.02,2583.117,대구
2022.03,2492.533,대구
2022.04,2401.950,대구
2022.05,2311.367,대구
2022.06,2220.783,대구
2022.07,2130.200,대구
2022.08,2039.617,대구
2022.09,1949.033,대구
2022.10,1858.450,대구
2022.11,1767.867,대구
2022.12,1677.283,대구
2023.01,1586.700,대구
2015.01,2852.300,대전
2015.02,2851.850,대전
2015.03,2851.400,대전
2015.04,2850.950,대전
2015.05,2850.500,대전
2015.06,2850.050,대전
2015.07,2849.600,대전
2015.08,2849.150,대전
2015.09,2848.700,대전
2015.10,2848.250,대전
2015.11,2847.800,대전
2015.12,2847.350,대전
2016.01,2846.900,대전
2016.02,2845.367,대전
2016.03,2843.833,대전
2016.04,2842.300,대전
2016.05,2840.767,대전
2016.06,2839.233,대전
2016.07,2837.700,대전
2016.08,2836.167,대전
2016.09,2834.633,대전
2016.10,2833.100,대전
2016.11,2831.567,대전
2016.12,2830.033,대전
2017.01,2828.500,대전
2017.02,2826.208,대전
2017.03,2823.917,대전
2017.04,2821.625,대전
2017.05,2819.333,대전
2017.06,2817.042,대전
2017.07,2814.750,대전
2017.08,2812.458,대전
2017.09,2810.167,대전
2017.10,2807.875,대전
2017.11,2805.583,대전
2017.12,2803.292,대전
2018.01,2801.000,대전
2018.02,2799.042,대전
2018.03,2797.083,대전
2018.04,2795.125,대전
2018.05,2793.167,대전
2018.06,2791.208,대전
2018.07,2789.250,대전
2018.08,2787.292,대전
2018.09,2785.333,대전
2018.10,2783.375,대전
2018.11,2781.417,대전
2018.12,2779.458,대전
2019.01,2777.500,대전
2019.02,2775.883,대전
2019.03,2774.267,대전
2019.04,2772.650,대전
2019.05,2771.033,대전
2019.06,2769.417,대전
2019.07,2767.800,대전
2019.08,2766.183,대전
2019.09,2764.567,대전
2019.10,2762.950,대전
2019.11,2761.333,대전
2019.12,2759.717,대전
2020.01,2758.100,대전
2020.02,2756.825,대전
2020.03,2755.550,대전
2020.04,2754.275,대전
2020.05,2753.000,대전
2020.06,2751.725,대전
2020.07,2750.450,대전
2020.08,2749.175,대전
2020.09,2747.900,대전
2020.10,2746.625,대전
2020.11,2745.350,대전
2020.12,2744.075,대전
2021.01,2742.800,대전
2021.02,2741.792,대전
2021.03,2740.783,대전
2021.04,2739.775,대전
2021.05,2738.767,대전
2021.06,2737.758,대전
2021.07,2736.750,대전
2021.08,2735.742,대전
2021.09,2734.733,대전
2021.10,2733.725,대전
2021.11,2732.717,대전
2021.12,2731.708,대전
2022.01,2730.700,대전
2022.02,2730.142,대전
2022.03,2729.583,대전
2022.04,2729.025,대전
2022.05,2728.467,대전
2022.06,2727.908,대전
2022.07,2727.350,대전
2022.08,2726.792,대전
2022.09,2726.233,대전
2022.10,2725.675,대전
2022.11,2725.117,대전
2022.12,2724.558,대전
2023.01,2724.000,대전
2015.01,4479.900,부산
2015.02,4478.975,부산
2015.03,4478.050,부산
2015.04,4477.125,부산
2015.05,4476.200,부산
2015.06,4475.275,부산
2015.07,4474.350,부산
2015.08,4473.425,부산
2015.09,4472.500,부산
2015.10,4471.575,부산
2015.11,4470.650,부산
2015.12,4469.725,부산
2016.01,4468.800,부산
2016.02,4466.183,부산
2016.03,4463.567,부산
2016.04,4460.950,부산
2016.05,4458.333,부산
2016.06,4455.717,부산
2016.07,4453.100,부산
2016.08,4450.483,부산
2016.09,4447.867,부산
2016.10,4445.250,부산
2016.11,4442.633,부산
2016.12,4440.017,부산
2017.01,4437.400,부산
2017.02,4435.100,부산
2017.03,4432.800,부산
2017.04,4430.500,부산
2017.05,4428.200,부산
2017.06,4425.900,부산
2017.07,4423.600,부산
2017.08,4421.300,부산
2017.09,4419.000,부산
2017.10,4416.700,부산
2017.11,4414.400,부산
2017.12,4412.100,부산
2018.01,4409.800,부산
2018.02,4407.292,부산
2018.03,4404.783,부산
2018.04,4402.275,부산
2018.05,4399.767,부산
2018.06,4397.258,부산
2018.07,4394.750,부산
2018.08,4392.242,부산
2018.09,4389.733,부산
2018.10,4387.225,부산
2018.11,4384.717,부산
2018.12,4382.208,부산
2019.01,4379.700,부산
2019.02,4377.133,부산
2019.03,4374.567,부산
2019.04,4372.000,부산
2019.05,4369.433,부산
2019.06,4366.867,부산
2019.07,4364.300,부산
2019.08,4361.733,부산
2019.09,4359.167,부산
2019.10,4356.600,부산
2019.11,4354.033,부산
2019.12,4351.467,부산
2020.01,4348.900,부산
2020.02,4346.192,부산
2020.03,4343.483,부산
2020.04,4340.775,부산
2020.05,4338.067,부산
2020.06,4335.358,부산
2020.07,4332.650,부산
2020.08,4329.942,부산
2020.09,4327.233,부산
2020.10,4324.525,부산
2020.11,4321.817,부산
2020.12,4319.108,부산
2021.01,4316.400,부산
2021.02,4312.767,부산
2021.03,4309.133,부산
2021.04,4305.500,부산
2021.05,4301.867,부산
2021.06,4298.233,부산
2021.07,4294.600,부산
2021.08,4290.967,부산
2021.09,4287.333,부산
2021.10,4283.700,부산
2021.11,4280.067,부산
2021.12,4276.433,부산
2022.01,4272.800,부산
2022.02,4271.067,부산
2022.03,4269.333,부산
2022.04,4267.600,부산
2022.05,4265.867,부산
2022.06,4264.133,부산
2022.07,4262.400,부산
2022.08,4260.667,부산
2022.09,4258.933,부산
2022.10,4257.200,부산
2022.11,4255.467,부산
2022.12,4253.733,부산
2023.01,4252.000,부산
2015.01,16364.000,서울
2015.02,16350.517,서울
2015.03,16337.033,서울
2015.04,16323.550,서울
2015.05,16310.067,서울
2015.06,16296.583,서울
2015.07,16283.100,서울
2015.08,16269.617,서울
2015.09,16256.133,서울
2015.10,16242.650,서울
2015.11,16229.167,서울
2015.12,16215.683,서울
2016.01,16202.200,서울
2016.02,16193.333,서울
2016.03,16184.467,서울
2016.04,16175.600,서울
2016.05,16166.733,서울
2016.06,16157.867,서울
2016.07,16149.000,서울
2016.08,16140.133,서울
2016.09,16131.267,서울
2016.10,16122.400,서울
2016.11,16113.533,서울
2016.12,16104.667,서울
2017.01,16095.800,서울
2017.02,16086.458,서울
2017.03,16077.117,서울
2017.04,16067.775,서울
2017.05,16058.433,서울
2017.06,16049.092,서울
2017.07,16039.750,서울
2017.08,16030.408,서울
2017.09,16021.067,서울
2017.10,16011.725,서울
2017.11,16002.383,서울
2017.12,15993.042,서울
2018.01,15983.700,서울
2018.02,15978.967,서울
2018.03,15974.233,서울
2018.04,15969.500,서울
2018.05,15964.767,서울
2018.06,15960.033,서울
2018.07,15955.300,서울
2018.08,15950.567,서울
2018.09,15945.833,서울
2018.10,15941.100,서울
2018.11,15936.367,서울
2018.12,15931.633,서울
2019.01,15926.900,서울
2019.02,15919.575,서울
2019.03,15912.250,서울
2019.04,15904.925,서울
2019.05,15897.600,서울
2019.06,15890.275,서울
2019.07,15882.950,서울
2019.08,15875.625,서울
2019.09,15868.300,서울
2019.10,15860.975,서울
2019.11,15853.650,서울
2019.12,15846.325,서울
2020.01,15839.000,서울
2020.02,15823.258,서울
2020.03,15807.517,서울
2020.04,15791.775,서울
2020.05,15776.033,서울
2020.06,15760.292,서울
2020.07,15744.550,서울
2020.08,15728.808,서울
2020.09,15713.067,서울
2020.10,15697.325,서울
2020.11,15681.583,서울
2020.12,15665.842,서울
2021.01,15650.100,서울
2021.02,15642.650,서울
2021.03,15635.200,서울
2021.04,15627.750,서울
2021.05,15620.300,서울
2021.06,15612.850,서울
2021.07,15605.400,서울
2021.08,15597.950,서울
2021.09,15590.500,서울
2021.10,15583.050,서울
2021.11,15575.600,서울
2021.12,15568.150,서울
2022.01,15560.700,서울
2022.02,15556.175,서울
2022.03,15551.650,서울
2022.04,15547.125,서울
2022.05,15542.600,서울
2022.06,15538.075,서울
2022.07,15533.550,서울
2022.08,15529.025,서울
2022.09,15524.500,서울
2022.10,15519.975,서울
2022.11,15515.450,서울
2022.12,15510.925,서울
2023.01,15506.400,서울
2015.01,439.000,세종
2015.02,445.892,세종
2015.03,452.783,세종
2015.04,459.675,세종
2015.05,466.567,세종
2015.06,473.458,세종
2015.07,480.350,세종
2015.08,487.242,세종
2015.09,494.133,세종
2015.10,501.025,세종
2015.11,507.917,세종
2015.12,514.808,세종
2016.01,521.700,세종
2016.02,527.808,세종
2016.03,533.917,세종
2016.04,540.025,세종
2016.05,546.133,세종
2016.06,552.242,세종
2016.07,558.350,세종
2016.08,564.458,세종
2016.09,570.567,세종
2016.10,576.675,세종
2016.11,582.783,세종
2016.12,588.892,세종
2017.01,595.000,세종
2017.02,601.408,세종
2017.03,607.817,세종
2017.04,614.225,세종
2017.05,620.633,세종
2017.06,627.042,세종
2017.07,633.450,세종
2017.08,639.858,세종
2017.09,646.267,세종
2017.10,652.675,세종
2017.11,659.083,세종
2017.12,665.492,세종
2018.01,671.900,세종
2018.02,676.517,세종
2018.03,681.133,세종
2018.04,685.750,세종
2018.05,690.367,세종
2018.06,694.983,세종
2018.07,699.600,세종
2018.08,704.217,세종
2018.09,708.833,세종
2018.10,713.450,세종
2018.11,718.067,세종
2018.12,722.683,세종
2019.01,727.300,세종
2019.02,730.133,세종
2019.03,732.967,세종
2019.04,735.800,세종
2019.05,738.633,세종
2019.06,741.467,세종
2019.07,744.300,세종
2019.08,747.133,세종
2019.09,749.967,세종
2019.10,752.800,세종
2019.11,755.633,세종
2019.12,758.467,세종
2020.01,761.300,세종
2020.02,763.500,세종
2020.03,765.700,세종
2020.04,767.900,세종
2020.05,770.100,세종
2020.06,772.300,세종
2020.07,774.500,세종
2020.08,776.700,세종
2020.09,778.900,세종
2020.10,781.100,세종
2020.11,783.300,세종
2020.12,785.500,세종
2021.01,787.700,세종
2021.02,790.633,세종
2021.03,793.567,세종
2021.04,796.500,세종
2021.05,799.433,세종
2021.06,802.367,세종
2021.07,805.300,세종
2021.08,808.233,세종
2021.09,811.167,세종
2021.10,814.100,세종
2021.11,817.033,세종
2021.12,819.967,세종
2022.01,822.900,세종
2022.02,823.550,세종
2022.03,824.200,세종
2022.04,824.850,세종
2022.05,825.500,세종
2022.06,826.150,세종
2022.07,826.800,세종
2022.08,827.450,세종
2022.09,828.100,세종
2022.10,828.750,세종
2022.11,829.400,세종
2022.12,830.050,세종
2023.01,830.700,세종
2015.01,1099.600,울산
2015.02,1099.567,울산
2015.03,1099.533,울산
2015.04,1099.500,울산
2015.05,1099.467,울산
2015.06,1099.433,울산
2015.07,1099.400,울산
2015.08,1099.367,울산
2015.09,1099.333,울산
2015.10,1099.300,울산
2015.11,1099.267,울산
2015.12,1099.233,울산
2016.01,1099.200,울산
2016.02,1098.467,울산
2016.03,1097.733,울산
2016.04,1097.000,울산
2016.05,1096.267,울산
2016.06,1095.533,울산
2016.07,1094.800,울산
2016.08,1094.067,울산
2016.09,1093.333,울산
2016.10,1092.600,울산
2016.11,1091.867,울산
2016.12,1091.133,울산
2017.01,1090.400,울산
2017.02,1089.817,울산
2017.03,1089.233,울산
2017.04,1088.650,울산
2017.05,1088.067,울산
2017.06,1087.483,울산
2017.07,1086.900,울산
2017.08,1086.317,울산
2017.09,1085.733,울산
2017.10,1085.150,울산
2017.11,1084.567,울산
2017.12,1083.983,울산
2018.01,1083.400,울산
2018.02,1082.858,울산
2018.03,1082.317,울산
2018.04,1081.775,울산
2018.05,1081.233,울산
2018.06,1080.692,울산
2018.07,1080.150,울산
2018.08,1079.608,울산
2018.09,1079.067,울산
2018.10,1078.525,울산
2018.11,1077.983,울산
2018.12,1077.442,울산
2019.01,1076.900,울산
2019.02,1076.242,울산
2019.03,1075.583,울산
2019.04,1074.925,울산
2019.05,1074.267,울산
2019.06,1073.608,울산
2019.07,1072.950,울산
2019.08,1072.292,울산
2019.09,1071.633,울산
2019.10,1070.975,울산
2019.11,1070.317,울산
2019.12,1069.658,울산
2020.01,1069.000,울산
2020.02,1067.833,울산
2020.03,1066.667,울산
2020.04,1065.500,울산
2020.05,1064.333,울산
2020.06,1063.167,울산
2020.07,1062.000,울산
2020.08,1060.833,울산
2020.09,1059.667,울산
2020.10,1058.500,울산
2020.11,1057.333,울산
2020.12,1056.167,울산
2021.01,1055.000,울산
2021.02,1054.158,울산
2021.03,1053.317,울산
2021.04,1052.475,울산
2021.05,1051.633,울산
2021.06,1050.792,울산
2021.07,1049.950,울산
2021.08,1049.108,울산
2021.09,1048.267,울산
2021.10,1047.425,울산
2021.11,1046.583,울산
2021.12,1045.742,울산
2022.01,1044.900,울산
2022.02,1044.658,울산
2022.03,1044.417,울산
2022.04,1044.175,울산
2022.05,1043.933,울산
2022.06,1043.692,울산
2022.07,1043.450,울산
2022.08,1043.208,울산
2022.09,1042.967,울산
2022.10,1042.725,울산
2022.11,1042.483,울산
2022.12,1042.242,울산
2023.01,1042.000,울산
2015.01,2755.500,인천
2015.02,2754.325,인천
2015.03,2753.150,인천
2015.04,2751.975,인천
2015.05,2750.800,인천
2015.06,2749.625,인천
2015.07,2748.450,인천
2015.08,2747.275,인천
2015.09,2746.100,인천
2015.10,2744.925,인천
2015.11,2743.750,인천
2015.12,2742.575,인천
2016.01,2741.400,인천
2016.02,2742.308,인천
2016.03,2743.217,인천
2016.04,2744.125,인천
2016.05,2745.033,인천
2016.06,2745.942,인천
2016.07,2746.850,인천
2016.08,2747.758,인천
2016.09,2748.667,인천
2016.10,2749.575,인천
2016.11,2750.483,인천
2016.12,2751.392,인천
2017.01,2752.300,인천
2017.02,2753.058,인천
2017.03,2753.817,인천
2017.04,2754.575,인천
2017.05,2755.333,인천
2017.06,2756.092,인천
2017.07,2756.850,인천
2017.08,2757.608,인천
2017.09,2758.367,인천
2017.10,2759.125,인천
2017.11,2759.883,인천
2017.12,2760.642,인천
2018.01,2761.400,인천
2018.02,2762.667,인천
2018.03,2763.933,인천
2018.04,2765.200,인천
2018.05,2766.467,인천
2018.06,2767.733,인천
2018.07,2769.000,인천
2018.08,2770.267,인천
2018.09,2771.533,인천
2018.10,2772.800,인천
2018.11,2774.067,인천
2018.12,2775.333,인천
2019.01,2776.600,인천
2019.02,2775.642,인천
2019.03,2774.683,인천
2019.04,2773.725,인천
2019.05,2772.767,인천
2019.06,2771.808,인천
2019.07,2770.850,인천
2019.08,2769.892,인천
2019.09,2768.933,인천
2019.10,2767.975,인천
2019.11,2767.017,인천
2019.12,2766.058,인천
2020.01,2765.100,인천
2020.02,2765.742,인천
2020.03,2766.383,인천
2020.04,2767.025,인천
2020.05,2767.667,인천
2020.06,2768.308,인천
2020.07,2768.950,인천
2020.08,2769.592,인천
2020.09,2770.233,인천
2020.10,2770.875,인천
2020.11,2771.517,인천
2020.12,2772.158,인천
2021.01,2772.800,인천
2021.02,2775.175,인천
2021.03,2777.550,인천
2021.04,2779.925,인천
2021.05,2782.300,인천
2021.06,2784.675,인천
2021.07,2787.050,인천
2021.08,2789.425,인천
2021.09,2791.800,인천
2021.10,2794.175,인천
2021.11,2796.550,인천
2021.12,2798.925,인천
2022.01,2801.300,인천
2022.02,2804.167,인천
2022.03,2807.033,인천
2022.04,2809.900,인천
2022.05,2812.767,인천
2022.06,2815.633,인천
2022.07,2818.500,인천
2022.08,2821.367,인천
2022.09,2824.233,인천
2022.10,2827.100,인천
2022.11,2829.967,인천
2022.12,2832.833,인천
2023.01,2835.700,인천
2015.01,373.500,전라
2015.02,373.458,전라
2015.03,373.417,전라
2015.04,373.375,전라
2015.05,373.333,전라
2015.06,373.292,전라
2015.07,373.250,전라
2015.08,373.208,전라
2015.09,373.167,전라
2015.10,373.125,전라
2015.11,373.083,전라
2015.12,373.042,전라
2016.01,373.000,전라
2016.02,372.883,전라
2016.03,372.767,전라
2016.04,372.650,전라
2016.05,372.533,전라
2016.06,372.417,전라
2016.07,372.300,전라
2016.08,372.183,전라
2016.09,372.067,전라
2016.10,371.950,전라
2016.11,371.833,전라
2016.12,371.717,전라
2017.01,371.600,전라
2017.02,371.492,전라
2017.03,371.383,전라
2017.04,371.275,전라
2017.05,371.167,전라
2017.06,371.058,전라
2017.07,370.950,전라
2017.08,370.842,전라
