시점,지역별,총소득,사교육비
2011.11,광역시,NaN,47194
2011.11,대도시외,NaN,98510
2011.11,서울,NaN,43975
2011.12,광역시,NaN,47165
2011.12,대도시외,NaN,98078
2011.12,서울,NaN,43777
2012.01,광역시,NaN,47136
2012.01,대도시외,NaN,97645
2012.01,서울,NaN,43578
2012.02,광역시,NaN,46958
2012.02,대도시외,NaN,97512
2012.02,서울,NaN,43549
2012.03,광역시,NaN,46780
2012.03,대도시외,NaN,97378
2012.03,서울,NaN,43521
2012.04,광역시,NaN,46602
2012.04,대도시외,NaN,97245
2012.04,서울,NaN,43492
2012.05,광역시,NaN,46424
2012.05,대도시외,NaN,97111
2012.05,서울,NaN,43464
2012.06,광역시,NaN,46246
2012.06,대도시외,NaN,96978
2012.06,서울,NaN,43435
2012.07,광역시,NaN,46068
2012.07,대도시외,NaN,96844
2012.07,서울,NaN,43406
2012.08,광역시,NaN,45890
2012.08,대도시외,NaN,96711
2012.08,서울,NaN,43378
2012.09,광역시,NaN,45712
2012.09,대도시외,NaN,96578
2012.09,서울,NaN,43349
2012.10,광역시,NaN,45534
2012.10,대도시외,NaN,96444
2012.10,서울,NaN,43321
2012.11,광역시,NaN,45356
2012.11,대도시외,NaN,96311
2012.11,서울,NaN,43292
2012.12,광역시,NaN,45178
2012.12,대도시외,NaN,96177
2012.12,서울,NaN,43264
2013.01,광역시,NaN,45000
2013.01,대도시외,NaN,96044
2013.01,서울,NaN,43235
2013.02,광역시,NaN,44845
2013.02,대도시외,NaN,95973
2013.02,서울,NaN,43145
2013.03,광역시,NaN,44690
2013.03,대도시외,NaN,95902
2013.03,서울,NaN,43055
2013.04,광역시,NaN,44535
2013.04,대도시외,NaN,95831
2013.04,서울,NaN,42964
2013.05,광역시,NaN,44380
2013.05,대도시외,NaN,95759
2013.05,서울,NaN,42874
2013.06,광역시,NaN,44225
2013.06,대도시외,NaN,95688
2013.06,서울,NaN,42784
2013.07,광역시,NaN,44070
2013.07,대도시외,NaN,95617
2013.07,서울,NaN,42694
2013.08,광역시,NaN,43915
2013.08,대도시외,NaN,95546
2013.08,서울,NaN,42604
2013.09,광역시,NaN,43760
2013.09,대도시외,NaN,95475
2013.09,서울,NaN,42514
2013.10,광역시,NaN,43605
2013.10,대도시외,NaN,95404
2013.10,서울,NaN,42423
2013.11,광역시,NaN,43450
2013.11,대도시외,NaN,95333
2013.11,서울,NaN,42333
2013.12,광역시,NaN,43295
2013.12,대도시외,NaN,95262
2013.12,서울,NaN,42243
2014.01,광역시,NaN,43140
2014.01,대도시외,NaN,95191
2014.01,서울,NaN,42153
2014.02,광역시,NaN,43104
2014.02,대도시외,NaN,95201
2014.02,서울,NaN,42086
2014.03,광역시,NaN,43068
2014.03,대도시외,NaN,95212
2014.03,서울,NaN,42019
2014.04,광역시,NaN,43033
2014.04,대도시외,NaN,95223
2014.04,서울,NaN,41952
2014.05,광역시,NaN,42997
2014.05,대도시외,NaN,95233
2014.05,서울,NaN,41885
2014.06,광역시,NaN,42961
2014.06,대도시외,NaN,95244
2014.06,서울,NaN,41818
2014.07,광역시,NaN,42926
2014.07,대도시외,NaN,95254
2014.07,서울,NaN,41751
2014.08,광역시,NaN,42890
2014.08,대도시외,NaN,95265
2014.08,서울,NaN,41684
2014.09,광역시,NaN,42854
2014.09,대도시외,NaN,95276
2014.09,서울,NaN,41617
2014.10,광역시,NaN,42819
2014.10,대도시외,NaN,95286
2014.10,서울,NaN,41550
2014.11,광역시,NaN,42783
2014.11,대도시외,NaN,95297
2014.11,서울,NaN,41483
2014.12,광역시,NaN,42747
2014.12,대도시외,NaN,95308
2014.12,서울,NaN,41416
2015.01,광역시,400708586,42712
2015.01,대도시외,1026316703,95318
2015.01,서울,416886307,41349
2015.02,광역시,401238917,42810
2015.02,대도시외,1029407236,95457
2015.02,서울,418087441,41447
2015.03,광역시,401769248,42909
2015.03,대도시외,1032497769,95595
2015.03,서울,419288576,41545
2015.04,광역시,402299579,43007
2015.04,대도시외,1035588302,95733
2015.04,서울,420489711,41643
2015.05,광역시,402829910,43106
2015.05,대도시외,1038678835,95872
2015.05,서울,421690845,41741
2015.06,광역시,403360241,43204
2015.06,대도시외,1041769368,96010
2015.06,서울,422891980,41839
2015.07,광역시,403890572,43303
2015.07,대도시외,1044859902,96148
2015.07,서울,424093115,41937
2015.08,광역시,404420903,43401
2015.08,대도시외,1047950435,96287
2015.08,서울,425294249,42035
2015.09,광역시,404951234,43500
2015.09,대도시외,1051040968,96425
2015.09,서울,426495384,42133
2015.10,광역시,405481565,43599
2015.10,대도시외,1054131501,96564
2015.10,서울,427696519,42231
2015.11,광역시,406011896,43697
2015.11,대도시외,1057222034,96702
2015.11,서울,428897653,42329
2015.12,광역시,406542227,43796
2015.12,대도시외,1060312567,96840
2015.12,서울,430098788,42427
2016.01,광역시,407072559,43894
2016.01,대도시외,1063403101,96979
2016.01,서울,431299923,42525
2016.02,광역시,407607199,43984
2016.02,대도시외,1067295773,97335
2016.02,서울,432233894,42665
2016.03,광역시,408141839,44075
2016.03,대도시외,1071188445,97690
2016.03,서울,433167866,42805
2016.04,광역시,408676479,44165
2016.04,대도시외,1075081117,98046
2016.04,서울,434101837,42946
2016.05,광역시,409211119,44255
2016.05,대도시외,1078973789,98402
2016.05,서울,435035809,43086
2016.06,광역시,409745759,44345
2016.06,대도시외,1082866461,98758
2016.06,서울,435969780,43227
2016.07,광역시,410280399,44435
2016.07,대도시외,1086759133,99113
2016.07,서울,436903752,43367
2016.08,광역시,410815039,44526
2016.08,대도시외,1090651805,99469
2016.08,서울,437837724,43507
2016.09,광역시,411349679,44616
2016.09,대도시외,1094544477,99825
2016.09,서울,438771695,43648
2016.10,광역시,411884319,44706
2016.10,대도시외,1098437149,100181
2016.10,서울,439705667,43788
2016.11,광역시,412418959,44796
2016.11,대도시외,1102329821,100536
2016.11,서울,440639638,43929
2016.12,광역시,412953599,44886
2016.12,대도시외,1106222493,100892
2016.12,서울,441573610,44069
2017.01,광역시,413488239,44977
2017.01,대도시외,1110115165,101248
2017.01,서울,442507582,44210
2017.02,광역시,414015355,45102
2017.02,대도시외,1113122195,101957
2017.02,서울,444006653,44321
2017.03,광역시,414542472,45228
2017.03,대도시외,1116129225,102665
2017.03,서울,445505725,44432
2017.04,광역시,415069588,45353
2017.04,대도시외,1119136256,103374
2017.04,서울,447004797,44543
2017.05,광역시,415596705,45478
2017.05,대도시외,1122143286,104082
2017.05,서울,448503869,44655
2017.06,광역시,416123821,45604
2017.06,대도시외,1125150316,104791
2017.06,서울,450002940,44766
2017.07,광역시,416650938,45729
2017.07,대도시외,1128157347,105500
2017.07,서울,451502012,44877
