시점,학생수,지역별,사설학원수,사교육참여율,수술인원
2004.02,,광주,2528,,0
2004.02,,대구,2907,,0
2004.02,,대전,1760,,0
2004.02,,부산,4827,,0
2004.02,,서울,11400,,0
2004.02,,울산,2317,,0
2004.02,,인천,2759,,0
2004.02,,전남,2448,,0
2004.02,,전북,3153,,0
2004.02,,제주,777,,0
2004.02,,충남,2376,,0
2004.02,,충북,1852,,0
2004.03,,강원,2033,,0
2004.03,,경기,13933,,0
2004.03,,경남,4991,,0
2004.03,,경북,2950,,0
2004.03,,광주,2540,,0
2004.03,,대구,2907,,0
2004.03,,대전,1776,,0
2004.03,,부산,4812,,0
2004.03,,서울,11419,,0
2004.03,,울산,2317,,0
2004.03,,인천,2751,,0
2004.03,,전남,2455,,0
2004.03,,전북,3152,,0
2004.03,,제주,782,,0
2004.03,,충남,2380,,0
2004.03,,충북,1871,,0
2004.04,,강원,2044,,0
2004.04,,경기,13997,,0
2004.04,,경남,4998,,0
2004.04,,경북,2965,,0
2004.04,,광주,2553,,0
2004.04,,대구,2907,,0
2004.04,,대전,1791,,0
2004.04,,부산,4797,,0
2004.04,,서울,11437,,0
2004.04,,울산,2317,,0
2004.04,,인천,2744,,0
2004.04,,전남,2461,,0
2004.04,,전북,3150,,0
2004.04,,제주,788,,0
2004.04,,충남,2384,,0
2004.04,,충북,1889,,0
2004.05,,강원,2054,,0
2004.05,,경기,14060,,0
2004.05,,경남,5004,,0
2004.05,,경북,2980,,0
2004.05,,광주,2566,,0
2004.05,,대구,2907,,0
2004.05,,대전,1806,,0
2004.05,,부산,4782,,0
2004.05,,서울,11456,,0
2004.05,,울산,2317,,0
2004.05,,인천,2737,,0
2004.05,,전남,2468,,0
2004.05,,전북,3149,,0
2004.05,,제주,793,,0
2004.05,,충남,2388,,0
2004.05,,충북,1907,,0
2004.06,,강원,2065,,0
2004.06,,경기,14124,,0
2004.06,,경남,5010,,0
2004.06,,경북,2996,,0
2004.06,,광주,2578,,0
2004.06,,대구,2907,,0
2004.06,,대전,1821,,0
2004.06,,부산,4767,,0
2004.06,,서울,11474,,0
2004.06,,울산,2317,,0
2004.06,,인천,2729,,0
2004.06,,전남,2474,,0
2004.06,,전북,3147,,0
2004.06,,제주,799,,0
2004.06,,충남,2392,,0
2004.06,,충북,1926,,0
2004.07,,강원,2076,,0
2004.07,,경기,14188,,0
2004.07,,경남,5016,,0
2004.07,,경북,3011,,0
2004.07,,광주,2591,,0
2004.07,,대구,2908,,0
2004.07,,대전,1836,,0
2004.07,,부산,4752,,0
2004.07,,서울,11492,,0
2004.07,,울산,2316,,0
2004.07,,인천,2722,,0
2004.07,,전남,2480,,0
2004.07,,전북,3146,,0
2004.07,,제주,804,,0
2004.07,,충남,2396,,0
2004.07,,충북,1944,,0
2004.08,,강원,2086,,0
2004.08,,경기,14251,,0
2004.08,,경남,5022,,0
2004.08,,경북,3026,,0
2004.08,,광주,2604,,0
2004.08,,대구,2908,,0
2004.08,,대전,1852,,0
2004.08,,부산,4736,,0
2004.08,,서울,11511,,0
2004.08,,울산,2316,,0
2004.08,,인천,2715,,0
2004.08,,전남,2487,,0
2004.08,,전북,3144,,0
2004.08,,제주,810,,0
2004.08,,충남,2399,,0
2004.08,,충북,1962,,0
2004.09,,강원,2097,,0
2004.09,,경기,14315,,0
2004.09,,경남,5028,,0
2004.09,,경북,3042,,0
2004.09,,광주,2616,,0
2004.09,,대구,2908,,0
2004.09,,대전,1867,,0
2004.09,,부산,4721,,0
2004.09,,서울,11529,,0
2004.09,,울산,2316,,0
2004.09,,인천,2707,,0
2004.09,,전남,2493,,0
2004.09,,전북,3142,,0
2004.09,,제주,816,,0
2004.09,,충남,2403,,0
2004.09,,충북,1981,,0
2004.10,,강원,2107,,0
2004.10,,경기,14378,,0
2004.10,,경남,5034,,0
2004.10,,경북,3057,,0
2004.10,,광주,2629,,0
2004.10,,대구,2908,,0
2004.10,,대전,1882,,0
2004.10,,부산,4706,,0
2004.10,,서울,11548,,0
2004.10,,울산,2316,,0
2004.10,,인천,2700,,0
2004.10,,전남,2500,,0
2004.10,,전북,3141,,0
2004.10,,제주,821,,0
2004.10,,충남,2407,,0
2004.10,,충북,1999,,0
2004.11,,강원,2118,,0
2004.11,,경기,14442,,0
2004.11,,경남,5041,,0
2004.11,,경북,3072,,0
2004.11,,광주,2642,,0
2004.11,,대구,2908,,0
2004.11,,대전,1898,,0
2004.11,,부산,4691,,0
2004.11,,서울,11566,,0
2004.11,,울산,2316,,0
2004.11,,인천,2693,,0
2004.11,,전남,2506,,0
2004.11,,전북,3139,,0
2004.11,,제주,827,,0
2004.11,,충남,2411,,0
2004.11,,충북,2017,,0
2004.12,,강원,2128,,0
2004.12,,경기,14505,,0
2004.12,,경남,5047,,0
2004.12,,경북,3088,,0
2004.12,,광주,2654,,0
2004.12,,대구,2908,,0
2004.12,,대전,1913,,0
2004.12,,부산,4676,,0
2004.12,,서울,11585,,0
2004.12,,울산,2316,,0
2004.12,,인천,2685,,0
2004.12,,전남,2513,,0
2004.12,,전북,3138,,0
2004.12,,제주,832,,0
2004.12,,충남,2415,,0
2004.12,,충북,2036,,0
2005.01,,강원,2139,,0
2005.01,,경기,14569,,0
2005.01,,경남,5053,,0
2005.01,,경북,3103,,0
2005.01,,광주,2667,,0
2005.01,,대구,2908,,0
2005.01,,대전,1928,,0
2005.01,,부산,4661,,0
2005.01,,서울,11603,,0
2005.01,,울산,2316,,0
2005.01,,인천,2678,,0
2005.01,,전남,2519,,0
2005.01,,전북,3136,,0
2005.01,,제주,838,,0
2005.01,,충남,2419,,0
2005.01,,충북,2054,,0
2005.02,,강원,2145,,0
2005.02,,경기,14649,,0
2005.02,,경남,5077,,0
2005.02,,경북,3121,,0
2005.02,,광주,2665,,0
2005.02,,대구,2919,,0
2005.02,,대전,1932,,0
2005.02,,부산,4665,,0
2005.02,,서울,11619,,0
2005.02,,울산,2324,,0
2005.02,,인천,2676,,0
2005.02,,전남,2521,,0
2005.02,,전북,3132,,0
2005.02,,제주,843,,0
2005.02,,충남,2428,,0
2005.02,,충북,2062,,0
2005.03,,강원,2151,,0
2005.03,,경기,14729,,0
2005.03,,경남,5101,,0
2005.03,,경북,3139,,0
2005.03,,광주,2662,,0
2005.03,,대구,2930,,0
2005.03,,대전,1937,,0
2005.03,,부산,4669,,0
2005.03,,서울,11635,,0
2005.03,,울산,2333,,0
2005.03,,인천,2674,,0
2005.03,,전남,2524,,0
2005.03,,전북,3127,,0
2005.03,,제주,848,,0
2005.03,,충남,2437,,0
2005.03,,충북,2071,,0
2005.04,,강원,2157,,0
2005.04,,경기,14809,,0
2005.04,,경남,5125,,0
2005.04,,경북,3156,,0
2005.04,,광주,2660,,0
2005.04,,대구,2941,,0
2005.04,,대전,1942,,0
2005.04,,부산,4673,,0
2005.04,,서울,11651,,0
2005.04,,울산,2341,,0
2005.04,,인천,2672,,0
2005.04,,전남,2526,,0
2005.04,,전북,3123,,0
2005.04,,제주,853,,0
2005.04,,충남,2446,,0
2005.04,,충북,2079,,0
2005.05,,강원,2163,,0
2005.05,,경기,14889,,0
2005.05,,경남,5149,,0
2005.05,,경북,3174,,0
2005.05,,광주,2658,,0
2005.05,,대구,2952,,0
2005.05,,대전,1946,,0
2005.05,,부산,4677,,0
2005.05,,서울,11667,,0
2005.05,,울산,2349,,0
2005.05,,인천,2669,,0
2005.05,,전남,2528,,0
2005.05,,전북,3119,,0
2005.05,,제주,858,,0
2005.05,,충남,2455,,0
2005.05,,충북,2087,,0
2005.06,,강원,2169,,0
2005.06,,경기,14969,,0
2005.06,,경남,5173,,0
2005.06,,경북,3192,,0
2005.06,,광주,2656,,0
2005.06,,대구,2963,,0
2005.06,,대전,1950,,0
2005.06,,부산,4681,,0
2005.06,,서울,11683,,0
2005.06,,울산,2358,,0
2005.06,,인천,2667,,0
2005.06,,전남,2531,,0
2005.06,,전북,3114,,0
2005.06,,제주,863,,0
2005.06,,충남,2464,,0
2005.06,,충북,2096,,0
2005.07,,강원,2174,,0
2005.07,,경기,15049,,0
2005.07,,경남,5196,,0
2005.07,,경북,3210,,0
2005.07,,광주,2654,,0
2005.07,,대구,2974,,0
2005.07,,대전,1955,,0
2005.07,,부산,4685,,0
2005.07,,서울,11698,,0
2005.07,,울산,2366,,0
2005.07,,인천,2665,,0
2005.07,,전남,2533,,0
2005.07,,전북,3110,,0
2005.07,,제주,868,,0
2005.07,,충남,2474,,0
2005.07,,충북,2104,,0
2005.08,,강원,2180,,0
2005.08,,경기,15129,,0
2005.08,,경남,5220,,0
2005.08,,경북,3228,,0
2005.08,,광주,2651,,0
2005.08,,대구,2986,,0
2005.08,,대전,1960,,0
2005.08,,부산,4689,,0
2005.08,,서울,11714,,0
2005.08,,울산,2374,,0
2005.08,,인천,2663,,0
2005.08,,전남,2535,,0
2005.08,,전북,3106,,0
2005.08,,제주,873,,0
2005.08,,충남,2483,,0
2005.08,,충북,2112,,0
2005.09,,강원,2186,,0
2005.09,,경기,15209,,0
2005.09,,경남,5244,,0
2005.09,,경북,3246,,0
2005.09,,광주,2649,,0
2005.09,,대구,2997,,0
2005.09,,대전,1964,,0
2005.09,,부산,4693,,0
2005.09,,서울,11730,,0
2005.09,,울산,2383,,0
2005.09,,인천,2661,,0
2005.09,,전남,2538,,0
2005.09,,전북,3101,,0
2005.09,,제주,878,,0
2005.09,,충남,2492,,0
2005.09,,충북,2121,,0
2005.10,,강원,2192,,0
2005.10,,경기,15289,,0
2005.10,,경남,5268,,0
2005.10,,경북,3264,,0
2005.10,,광주,2647,,0
2005.10,,대구,3008,,0
2005.10,,대전,1968,,0
2005.10,,부산,4697,,0
2005.10,,서울,11746,,0
2005.10,,울산,2391,,0
2005.10,,인천,2658,,0
2005.10,,전남,2540,,0
2005.10,,전북,3097,,0
2005.10,,제주,883,,0
2005.10,,충남,2501,,0
2005.10,,충북,2129,,0
2005.11,,강원,2198,,0
2005.11,,경기,15369,,0
2005.11,,경남,5292,,0
2005.11,,경북,3281,,0
2005.11,,광주,2644,,0
2005.11,,대구,3019,,0
2005.11,,대전,1973,,0
2005.11,,부산,4701,,0
2005.11,,서울,11762,,0
2005.11,,울산,2399,,0
2005.11,,인천,2656,,0
2005.11,,전남,2542,,0
2005.11,,전북,3093,,0
2005.11,,제주,888,,0
2005.11,,충남,2510,,0
2005.11,,충북,2137,,0
2005.12,,강원,2204,,0
2005.12,,경기,15449,,0
2005.12,,경남,5316,,0
2005.12,,경북,3299,,0
2005.12,,광주,2642,,0
2005.12,,대구,3030,,0
2005.12,,대전,1978,,0
2005.12,,부산,4705,,0
2005.12,,서울,11778,,0
2005.12,,울산,2408,,0
2005.12,,인천,2654,,0
2005.12,,전남,2545,,0
2005.12,,전북,3088,,0
2005.12,,제주,893,,0
2005.12,,충남,2519,,0
2005.12,,충북,2146,,0
2006.01,,강원,2210,,39240
2006.01,,경기,15529,,265775
2006.01,,경남,5340,,85572
2006.01,,경북,3317,,69241
2006.01,,광주,2640,,34139
2006.01,,대구,3041,,59194
2006.01,,대전,1982,,35062
2006.01,,부산,4709,,93308
2006.01,,서울,11794,,240090
2006.01,,울산,2416,,29636
2006.01,,인천,2652,,62404
2006.01,,전남,2547,,58329
2006.01,,전북,3084,,55365
2006.01,,제주,898,,13159
2006.01,,충남,2528,,58037
2006.01,,충북,2154,,39383
2006.02,,강원,2219,,39376
2006.02,,경기,15534,,268370
2006.02,,경남,5382,,86041
2006.02,,경북,3320,,69351
2006.02,,광주,2622,,34271
2006.02,,대구,3032,,59370
2006.02,,대전,1994,,35273
2006.02,,부산,4715,,93858
2006.02,,서울,11774,,241595
2006.02,,울산,2410,,29882
2006.02,,인천,2655,,62932
2006.02,,전남,2554,,58204
2006.02,,전북,3099,,55347
2006.02,,제주,900,,13241
2006.02,,충남,2539,,57989
2006.02,,충북,2160,,39543
2006.03,,강원,2228,,39513
2006.03,,경기,15539,,270965
2006.03,,경남,5424,,86509
2006.03,,경북,3323,,69461
2006.03,,광주,2603,,34404
2006.03,,대구,3022,,59546
2006.03,,대전,2006,,35485
2006.03,,부산,4721,,94408
2006.03,,서울,11753,,243100
2006.03,,울산,2404,,30129
2006.03,,인천,2657,,63461
2006.03,,전남,2562,,58079
2006.03,,전북,3114,,55328
2006.03,,제주,903,,13322
2006.03,,충남,2550,,57941
2006.03,,충북,2165,,39704
2006.04,,강원,2236,,39649
2006.04,,경기,15544,,273560
2006.04,,경남,5466,,86978
2006.04,,경북,3326,,69571
2006.04,,광주,2585,,34536
2006.04,,대구,3013,,59721
2006.04,,대전,2018,,35696
2006.04,,부산,4726,,94958
2006.04,,서울,11733,,244604
2006.04,,울산,2398,,30375
2006.04,,인천,2660,,63990
2006.04,,전남,2570,,57954
2006.04,,전북,3129,,55310
2006.04,,제주,905,,13404
2006.04,,충남,2561,,57894
2006.04,,충북,2171,,39864
2006.05,,강원,2245,,39786
2006.05,,경기,15550,,276155
2006.05,,경남,5508,,87446
2006.05,,경북,3330,,69681
2006.05,,광주,2567,,34668
2006.05,,대구,3004,,59897
2006.05,,대전,2031,,35908
2006.05,,부산,4732,,95508
2006.05,,서울,11712,,246109
2006.05,,울산,2393,,30621
2006.05,,인천,2663,,64518
2006.05,,전남,2577,,57828
2006.05,,전북,3144,,55292
2006.05,,제주,908,,13486
2006.05,,충남,2572,,57846
2006.05,,충북,2176,,40024
2006.06,,강원,2254,,39922
2006.06,,경기,15555,,278750
2006.06,,경남,5550,,87915
2006.06,,경북,3333,,69791
2006.06,,광주,2548,,34800
2006.06,,대구,2994,,60073
2006.06,,대전,2043,,36119
2006.06,,부산,4738,,96058
2006.06,,서울,11692,,247614
2006.06,,울산,2387,,30868
2006.06,,인천,2665,,65046
2006.06,,전남,2584,,57703
2006.06,,전북,3159,,55273
2006.06,,제주,910,,13567
2006.06,,충남,2583,,57798
2006.06,,충북,2182,,40185
2006.07,,강원,2262,,40058
2006.07,,경기,15560,,281345
2006.07,,경남,5592,,88384
2006.07,,경북,3336,,69900
2006.07,,광주,2530,,34932
2006.07,,대구,2985,,60248
2006.07,,대전,2055,,36330
2006.07,,부산,4744,,96608
2006.07,,서울,11672,,249119
2006.07,,울산,2381,,31114
2006.07,,인천,2668,,65575
2006.07,,전남,2592,,57578
2006.07,,전북,3174,,55255
2006.07,,제주,912,,13649
2006.07,,충남,2594,,57750
2006.07,,충북,2188,,40345
2006.08,,강원,2271,,40195
2006.08,,경기,15565,,283940
2006.08,,경남,5634,,88852
2006.08,,경북,3339,,70010
2006.08,,광주,2512,,35065
2006.08,,대구,2976,,60424
2006.08,,대전,2067,,36542
2006.08,,부산,4750,,97157
2006.08,,서울,11651,,250624
2006.08,,울산,2375,,31360
2006.08,,인천,2671,,66104
2006.08,,전남,2600,,57453
2006.08,,전북,3189,,55237
2006.08,,제주,915,,13731
2006.08,,충남,2605,,57702
2006.08,,충북,2193,,40505
2006.09,,강원,2280,,40331
2006.09,,경기,15570,,286535
2006.09,,경남,5676,,89321
2006.09,,경북,3342,,70120
2006.09,,광주,2493,,35197
2006.09,,대구,2966,,60600
2006.09,,대전,2079,,36753
2006.09,,부산,4756,,97707
2006.09,,서울,11631,,252129
2006.09,,울산,2369,,31607
2006.09,,인천,2673,,66632
2006.09,,전남,2607,,57328
