"시점","시도별",계,남자,여자
"2008","서울특별시",62.5,74.2,51.6
"2008","부산광역시",57.5,68.5,47.3
"2008","대구광역시",58.6,70.4,47.6
"2008","인천광역시",61.7,75.1,48.5
"2008","광주광역시",58.6,70.0,48.0
"2008","대전광역시",59.4,71.7,47.6
"2008","울산광역시",62.4,77.2,47.1
"2008","경기도",62.5,75.8,49.5
"2008","강원특별자치도",58.6,69.3,48.5
"2008","충청북도",60.4,72.1,49.1
"2008","충청남도",63.6,75.0,52.4
"2008","전북특별자치도",59.8,71.0,49.5
"2008","전라남도",65.1,75.4,55.6
"2008","경상북도",64.0,75.9,52.7
"2008","경상남도",62.8,74.7,51.2
"2008","제주도",69.2,77.8,61.2
"2009","서울특별시",61.2,73.0,50.3
"2009","부산광역시",56.6,68.1,46.0
"2009","대구광역시",58.9,70.8,47.8
"2009","인천광역시",62.0,74.8,49.5
"2009","광주광역시",58.6,70.2,47.8
"2009","대전광역시",58.9,71.1,47.2
"2009","울산광역시",61.2,76.3,45.6
"2009","경기도",61.5,75.5,47.7
"2009","강원특별자치도",58.8,69.3,48.7
"2009","충청북도",60.4,70.9,50.2
"2009","충청남도",62.2,74.3,50.1
"2009","전북특별자치도",59.0,69.7,49.2
"2009","전라남도",65.1,75.9,55.2
"2009","경상북도",63.7,75.3,52.7
"2009","경상남도",62.0,73.8,50.4
"2009","제주도",68.2,76.2,60.6
"2010","서울특별시",62.1,73.5,51.6
"2010","부산광역시",56.3,67.7,45.9
"2010","대구광역시",59.4,70.1,49.4
"2010","인천광역시",62.8,75.7,50.1
"2010","광주광역시",59.0,69.0,49.7
"2010","대전광역시",58.6,70.6,47.0
"2010","울산광역시",61.2,76.0,45.9
"2010","경기도",61.7,75.8,47.7
"2010","강원특별자치도",57.5,67.4,47.9
"2010","충청북도",60.8,71.4,50.5
"2010","충청남도",62.1,73.7,50.4
"2010","전북특별자치도",58.3,70.0,47.5
"2010","전라남도",63.6,74.5,53.7
"2010","경상북도",64.1,75.2,53.6
"2010","경상남도",61.4,73.4,49.6
"2010","제주도",66.3,74.7,58.4
"2011","서울특별시",62.9,74.2,52.4
"2011","부산광역시",56.6,68.3,45.7
"2011","대구광역시",59.0,70.0,48.7
"2011","인천광역시",63.7,76.4,51.2
"2011","광주광역시",58.4,68.8,48.7
"2011","대전광역시",59.0,70.4,48.0
"2011","울산광역시",61.4,76.3,46.1
"2011","경기도",61.5,75.3,47.8
"2011","강원특별자치도",57.5,67.9,47.6
"2011","충청북도",61.0,71.1,51.2
"2011","충청남도",62.4,74.8,50.0
"2011","전북특별자치도",58.9,70.6,48.0
"2011","전라남도",63.5,74.0,53.7
"2011","경상북도",63.5,74.5,52.9
"2011","경상남도",62.1,74.0,50.3
"2011","제주도",67.1,75.6,59.1
"2012","서울특별시",62.6,73.4,52.5
"2012","부산광역시",58.2,69.5,47.6
"2012","대구광역시",60.4,70.8,50.6
"2012","인천광역시",64.5,76.4,52.8
"2012","광주광역시",57.9,69.4,47.2
"2012","대전광역시",59.5,71.0,48.4
"2012","울산광역시",61.3,77.5,44.5
"2012","경기도",61.8,75.7,48.2
