시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집
2013.08,경남,1.39,60.4,104.399,5792,67.183,108301,82.5,2090.4,3572
2013.08,경북,1.40,63.4,96.538,3739,64.417,86957,83.0,2071.5,2237
2013.08,광주,1.19,57.1,110.483,3443,69.158,42042,86.0,2086.2,1256
2013.08,대구,1.15,57.4,108.768,3646,70.967,68823,89.0,2146.9,1589
2013.08,대전,1.24,57.5,108.014,2116,71.417,40565,85.5,2116.8,1690
2013.08,부산,1.07,55.9,104.921,4574,66.425,120555,84.0,2143.3,1932
2013.08,서울,0.98,59.7,109.205,13560,74.650,260387,85.0,2098.7,6768
2013.08,울산,1.42,59.1,109.608,2331,67.475,34081,91.4,2031.7,941
2013.08,인천,1.20,61.8,108.072,3180,65.650,82490,82.4,2133.1,2289
2013.08,전남,1.51,63.0,90.771,2826,58.708,71557,71.0,2105.6,1234
2013.08,전북,1.33,59.8,95.378,3966,59.608,63802,74.7,2083.7,1651
2013.08,제주,1.46,65.4,109.763,990,63.758,16669,82.5,2154.2,601
2013.08,충남,1.43,64.4,100.793,2712,60.933,68524,76.6,2061.7,2066
2013.08,충북,1.36,61.2,100.365,2356,61.450,51302,77.6,2094.9,1222
2013.09,강원,1.25,57.4,94.903,2277,61.233,47102,72.9,2116.4,1260
2013.09,경기,1.24,61.6,111.173,18094,72.533,329514,84.7,2110.8,13294
2013.09,경남,1.40,60.8,104.193,5811,67.167,108312,82.6,2091.6,3564
2013.09,경북,1.40,63.5,96.260,3759,64.433,86886,83.9,2072.4,2232
2013.09,광주,1.19,57.5,110.000,3454,69.067,42036,86.4,2086.8,1257
2013.09,대구,1.16,57.4,108.217,3647,70.833,68787,89.6,2145.2,1589
2013.09,대전,1.24,57.9,107.673,2110,71.233,40560,85.2,2114.4,1692
2013.09,부산,1.08,56.1,104.447,4565,66.300,120608,84.0,2142.8,1937
2013.09,서울,0.98,60.3,108.820,13582,74.600,260321,85.2,2098.0,6772
2013.09,울산,1.42,58.9,109.230,2335,67.500,34075,91.6,2033.6,942
