시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집,이동인구수,인구밀집도,주택유형별,주택규모별,ratio
2015.06,11,0.98,59.8,102.642,13983.0,74.05,256979.0,87.2,2039.5,6502.167,-14378.0,16296.583,0,2,76.458
2015.06,11,0.98,59.8,102.642,13983.0,74.05,256979.0,87.2,2039.5,6502.167,-14378.0,16296.583,0,3,76.808
2015.06,11,0.98,59.8,102.642,13983.0,74.05,256979.0,87.2,2039.5,6502.167,-14378.0,16296.583,0,4,80.158
2015.06,11,0.98,59.8,102.642,13983.0,74.05,256979.0,87.2,2039.5,6502.167,-14378.0,16296.583,0,5,81.833
2015.06,11,0.98,59.8,102.642,13983.0,74.05,256979.0,87.2,2039.5,6502.167,-14378.0,16296.583,1,1,90.307
2015.06,11,0.98,59.8,102.642,13983.0,74.05,256979.0,87.2,2039.5,6502.167,-14378.0,16296.583,1,2,90.922
2015.06,11,0.98,59.8,102.642,13983.0,74.05,256979.0,87.2,2039.5,6502.167,-14378.0,16296.583,1,3,91.03
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,0,1,73.476
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,0,2,76.86
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,0,3,77.402
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,0,4,80.425
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,0,5,82.027
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,1,1,90.492
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,1,2,91.117
2015.07,11,0.97,60.3,102.37,13982.0,74.0,257386.0,87.3,2027.4,6483.0,-11723.0,16283.1,1,3,91.142
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,0,1,73.99
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,0,2,77.291
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,0,3,77.693
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,0,4,80.735
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,0,5,82.187
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,1,1,90.614
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,1,2,91.325
2015.08,11,0.97,60.3,102.098,13980.0,73.95,257792.0,87.4,2015.3,6463.833,-12911.0,16269.617,1,3,91.289
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,0,1,74.608
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,0,2,77.825
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,0,3,78.164
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,0,4,81.082
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,0,5,82.493
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,1,1,90.817
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,1,2,91.472
2015.09,11,0.96,60.0,101.827,13979.0,73.9,258199.0,87.5,2003.2,6444.667,-12886.0,16256.133,1,3,91.396
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,0,1,75.181
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,0,2,78.396
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,0,3,78.449
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,0,4,81.493
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,0,5,82.731
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,1,1,91.019
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,1,2,91.68
2015.1,11,0.96,59.9,101.555,13978.0,73.85,258606.0,87.6,1991.1,6425.5,-14997.0,16242.65,1,3,91.539
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,0,1,75.813
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,0,2,78.891
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,0,3,79.034
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,0,4,81.803
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,0,5,83.058
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,1,1,91.286
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,1,2,91.821
2015.11,11,0.95,60.2,101.283,13976.0,73.8,259013.0,87.7,1979.0,6406.333,-13610.0,16229.167,1,3,91.751
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,0,1,76.217
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,0,2,79.225
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,0,3,79.205
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,0,4,82.047
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,0,5,83.181
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,1,1,91.422
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,1,2,91.959
2015.12,11,0.95,60.1,101.012,13975.0,73.75,259420.0,87.8,1966.9,6387.167,-17393.0,16215.683,1,3,91.797
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,0,1,76.254
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,0,2,79.262
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,0,3,79.158
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,0,4,82.112
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,0,5,83.206
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,1,1,91.47
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,1,2,92.024
2016.01,11,0.94,59.7,100.74,13974.0,73.7,259827.0,87.9,1954.8,6368.0,-6854.0,16202.2,1,3,91.801
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,0,1,76.265
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,0,2,79.266
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,0,3,79.137
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,0,4,82.119
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,0,5,83.141
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,1,1,91.466
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,1,2,92.03
2016.02,11,0.93,59.3,100.476,13992.0,74.025,260120.0,88.1,1953.0,6356.167,-8211.0,16193.333,1,3,91.79
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,0,1,76.303
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,0,2,79.251
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,0,3,79.047
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,0,4,82.094
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,0,5,83.095
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,1,1,91.482
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,1,2,92.05
2016.03,11,0.92,58.8,100.212,14010.0,74.35,260413.0,88.3,1951.2,6344.333,-8820.0,16184.467,1,3,91.788
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,0,1,76.42
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,0,2,79.311
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,0,3,79.099
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,0,4,82.15
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,0,5,83.121
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,1,1,91.54
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,1,2,92.098
2016.04,11,0.91,59.3,99.947,14028.0,74.675,260706.0,88.5,1949.4,6332.5,-10658.0,16175.6,1,3,91.805
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,0,1,76.638
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,0,2,79.471
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,0,3,79.316
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,0,4,82.231
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,0,5,83.193
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,1,1,91.608
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,1,2,92.143
2016.05,11,0.91,60.2,99.683,14046.0,75.0,260999.0,88.8,1947.6,6320.667,-11958.0,16166.733,1,3,91.863
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,0,1,76.943
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,0,2,79.718
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,0,3,79.771
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,0,4,82.433
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,0,5,83.433
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,1,1,91.675
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,1,2,92.213
2016.06,11,0.9,60.4,99.419,14064.0,75.325,261292.0,89.0,1945.8,6308.833,-12064.0,16157.867,1,3,91.897
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,0,1,77.279
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,0,2,79.957
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,0,3,80.126
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,0,4,82.671
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,0,5,83.627
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,1,1,91.76
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,1,2,92.274
2016.07,11,0.89,60.4,99.155,14082.0,75.65,261586.0,89.2,1944.0,6297.0,-12845.0,16149.0,1,3,91.893
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,0,1,77.666
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,0,2,80.229
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,0,3,80.577
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,0,4,82.912
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,0,5,83.823
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,1,1,91.847
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,1,2,92.37
2016.08,11,0.88,60.0,98.891,14099.0,75.975,261879.0,89.4,1942.2,6285.167,-14671.0,16140.133,1,3,92.008
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,0,1,78.041
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,0,2,80.515
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,0,3,81.014
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,0,4,83.144
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,0,5,84.146
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,1,1,91.946
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,1,2,92.459
2016.09,11,0.87,60.2,98.627,14117.0,76.3,262172.0,89.6,1940.4,6273.333,-10910.0,16131.267,1,3,92.092
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,0,1,78.682
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,0,2,81.004
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,0,3,82.072
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,0,4,83.564
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,0,5,84.593
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,1,1,92.074
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,1,2,92.538
2016.1,11,0.86,60.5,98.362,14135.0,76.625,262465.0,89.8,1938.6,6261.5,-13258.0,16122.4,1,3,92.185
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,0,1,79.272
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,0,2,81.397
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,0,3,82.855
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,0,4,83.908
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,0,5,84.775
