시점,인구밀도,지역별
2022.03,311.05,경남
2022.04,310.98,경남
2022.05,310.9,경남
2022.06,310.82,경남
2022.07,310.75,경남
2022.08,310.68,경남
2022.09,310.6,경남
2022.10,310.52,경남
2022.11,310.45,경남
2022.12,310.38,경남
2023.01,310.3,경남
2015.01,140.8,경북
2015.02,140.81,경북
2015.03,140.82,경북
2015.04,140.83,경북
2015.05,140.83,경북
2015.06,140.84,경북
2015.07,140.85,경북
2015.08,140.86,경북
2015.09,140.87,경북
2015.10,140.88,경북
2015.11,140.88,경북
2015.12,140.89,경북
2016.01,140.9,경북
2016.02,140.88,경북
2016.03,140.87,경북
2016.04,140.85,경북
2016.05,140.83,경북
2016.06,140.82,경북
2016.07,140.8,경북
2016.08,140.78,경북
2016.09,140.77,경북
2016.10,140.75,경북
2016.11,140.73,경북
2016.12,140.72,경북
2017.01,140.7,경북
2017.02,140.67,경북
2017.03,140.65,경북
2017.04,140.62,경북
2017.05,140.6,경북
2017.06,140.57,경북
2017.07,140.55,경북
2017.08,140.53,경북
2017.09,140.5,경북
2017.10,140.47,경북
2017.11,140.45,경북
2017.12,140.43,경북
2018.01,140.4,경북
2018.02,140.38,경북
2018.03,140.37,경북
2018.04,140.35,경북
2018.05,140.33,경북
2018.06,140.32,경북
2018.07,140.3,경북
2018.08,140.28,경북
2018.09,140.27,경북
2018.10,140.25,경북
2018.11,140.23,경북
2018.12,140.22,경북
2019.01,140.2,경북
2019.02,140.09,경북
2019.03,139.98,경북
2019.04,139.88,경북
2019.05,139.77,경북
2019.06,139.66,경북
2019.07,139.55,경북
2019.08,139.44,경북
2019.09,139.33,경북
2019.10,139.22,경북
2019.11,139.12,경북
2019.12,139.01,경북
2020.01,138.9,경북
2020.02,138.86,경북
2020.03,138.82,경북
2020.04,138.78,경북
2020.05,138.73,경북
2020.06,138.69,경북
2020.07,138.65,경북
2020.08,138.61,경북
2020.09,138.57,경북
2020.10,138.53,경북
2020.11,138.48,경북
2020.12,138.44,경북
2021.01,138.4,경북
2021.02,138.34,경북
2021.03,138.28,경북
2021.04,138.22,경북
2021.05,138.17,경북
2021.06,138.11,경북
2021.07,138.05,경북
2021.08,137.99,경북
2021.09,137.93,경북
2021.10,137.88,경북
2021.11,137.82,경북
2021.12,137.76,경북
2022.01,137.7,경북
2022.02,137.94,경북
2022.03,138.18,경북
2022.04,138.42,경북
2022.05,138.67,경북
2022.06,138.91,경북
2022.07,139.15,경북
2022.08,139.39,경북
2022.09,139.63,경북
2022.10,139.88,경북
2022.11,140.12,경북
2022.12,140.36,경북
2023.01,140.6,경북
2015.01,2998.8,광주
2015.02,2998.54,광주
2015.03,2998.28,광주
2015.04,2998.03,광주
2015.05,2997.77,광주
2015.06,2997.51,광주
2015.07,2997.25,광주
2015.08,2996.99,광주
2015.09,2996.73,광주
2015.10,2996.47,광주
2015.11,2996.22,광주
2015.12,2995.96,광주
2016.01,2995.7,광주
