"시점","시도별","연령계층별",고용률 (%)
"2011","대전광역시","계",56.9
"2011","울산광역시","계",59.8
"2011","경기도","계",59.3
"2011","강원도","계",56.2
"2011","충청북도","계",59.5
"2011","충청남도","계",61.0
"2011","전라북도","계",57.6
"2011","전라남도","계",62.3
"2011","경상북도","계",61.9
"2011","경상남도","계",60.7
"2011","제주도","계",66.0
"2012","서울특별시","계",59.9
"2012","부산광역시","계",55.9
"2012","대구광역시","계",58.4
"2012","인천광역시","계",61.6
"2012","광주광역시","계",56.4
"2012","대전광역시","계",57.3
"2012","울산광역시","계",59.8
"2012","경기도","계",59.8
"2012","강원도","계",56.9
"2012","충청북도","계",58.8
"2012","충청남도","계",61.5
"2012","전라북도","계",57.5
"2012","전라남도","계",63.2
"2012","경상북도","계",62.2
"2012","경상남도","계",60.2
"2012","제주도","계",66.7
"2013","서울특별시","계",59.9
"2013","부산광역시","계",56.1
"2013","대구광역시","계",57.9
"2013","인천광역시","계",61.3
"2013","광주광역시","계",57.2
"2013","대전광역시","계",57.5
"2013","울산광역시","계",59.0
"2013","경기도","계",60.2
"2013","강원도","계",56.3
"2013","충청북도","계",60.0
"2013","충청남도","계",62.7
"2013","전라북도","계",58.6
"2013","전라남도","계",62.6
"2013","경상북도","계",62.1
"2013","경상남도","계",60.3
"2013","제주도","계",66.4
"2014","서울특별시","계",60.5
"2014","부산광역시","계",56.7
"2014","대구광역시","계",58.7
"2014","인천광역시","계",61.3
"2014","광주광역시","계",58.8
"2014","대전광역시","계",59.1
"2014","울산광역시","계",58.3
"2014","경기도","계",61.6
"2014","강원도","계",56.9
"2014","충청북도","계",62.0
"2014","충청남도","계",62.4
"2014","전라북도","계",58.3
"2014","전라남도","계",62.2
"2014","경상북도","계",63.2
"2014","경상남도","계",60.2
"2014","제주도","계",67.3
"2015","서울특별시","계",60.0
"2015","부산광역시","계",56.3
"2015","대구광역시","계",59.4
"2015","인천광역시","계",61.1
"2015","광주광역시","계",58.5
"2015","대전광역시","계",59.6
"2015","울산광역시","계",59.0
"2015","경기도","계",61.7
"2015","강원도","계",57.9
"2015","충청북도","계",62.4
"2015","충청남도","계",62.3
"2015","전라북도","계",59.2
"2015","전라남도","계",62.8
"2015","경상북도","계",62.4
"2015","경상남도","계",60.6
"2015","제주도","계",68.5
"2016","서울특별시","계",60.0
"2016","부산광역시","계",56.2
"2016","대구광역시","계",59.3
"2016","인천광역시","계",61.8
"2016","광주광역시","계",58.1
"2016","대전광역시","계",59.7
"2016","울산광역시","계",59.0
"2016","경기도","계",61.7
"2016","강원도","계",58.2
"2016","충청북도","계",62.0
"2016","충청남도","계",61.7
"2016","전라북도","계",59.9
"2016","전라남도","계",62.7
"2016","경상북도","계",62.4
"2016","경상남도","계",60.6
"2016","제주도","계",69.3
"2017","서울특별시","계",60.2
"2017","부산광역시","계",56.3
"2017","대구광역시","계",58.8
"2017","인천광역시","계",61.7
"2017","광주광역시","계",59.0
"2017","대전광역시","계",58.9
"2017","울산광역시","계",59.8
"2017","세종특별자치시","계",61.2
"2017","경기도","계",62.1
"2017","강원도","계",61.0
"2017","충청북도","계",62.6
"2017","충청남도","계",62.3
"2017","전라북도","계",58.6
"2017","전라남도","계",62.1
"2017","경상북도","계",62.5
"2017","경상남도","계",60.9
"2017","제주도","계",70.9
"2018","서울특별시","계",59.6
"2018","부산광역시","계",55.7
"2018","대구광역시","계",58.2
"2018","인천광역시","계",62.9
"2018","광주광역시","계",59.4
"2018","대전광역시","계",58.7
"2018","울산광역시","계",59.0
"2018","세종특별자치시","계",61.8
"2018","경기도","계",62.0
"2018","강원도","계",60.7
"2018","충청북도","계",63.3
"2018","충청남도","계",63.5
"2018","전라북도","계",58.3
"2018","전라남도","계",62.4
"2018","경상북도","계",61.6
"2018","경상남도","계",61.4
"2018","제주도","계",68.4
"2019","서울특별시","계",60.0
"2019","부산광역시","계",56.6
"2019","대구광역시","계",57.9
"2019","인천광역시","계",62.5
"2019","광주광역시","계",59.3
"2019","대전광역시","계",59.8
"2019","울산광역시","계",59.1
"2019","세종특별자치시","계",62.5
"2019","경기도","계",61.9
"2019","강원도","계",62.3
"2019","충청북도","계",62.9
"2019","충청남도","계",63.7
"2019","전라북도","계",59.3
"2019","전라남도","계",63.4
"2019","경상북도","계",61.7
"2019","경상남도","계",61.3
"2019","제주도","계",68.4
"2020","서울특별시","계",59.3
"2020","부산광역시","계",55.6
"2020","대구광역시","계",56.6
"2020","인천광역시","계",61.3
"2020","광주광역시","계",58.7
"2020","대전광역시","계",60.7
"2020","울산광역시","계",58.1
"2020","세종특별자치시","계",62.7
"2020","경기도","계",60.3
"2020","강원도","계",60.8
"2020","충청북도","계",63.2
"2020","충청남도","계",62.4
"2020","전라북도","계",59.9
"2020","전라남도","계",63.9
"2020","경상북도","계",61.1
"2020","경상남도","계",60.6
"2020","제주도","계",67.1
"2021","서울특별시","계",59.2
"2021","부산광역시","계",56.2
"2021","대구광역시","계",58.2
"2021","인천광역시","계",61.3
"2021","광주광역시","계",58.2
"2021","대전광역시","계",60.9
"2021","울산광역시","계",57.7
"2021","세종특별자치시","계",62.6
"2021","경기도","계",61.1
"2021","강원도","계",61.4
"2021","충청북도","계",63.3
"2021","충청남도","계",63.0
"2021","전라북도","계",61.2
"2021","전라남도","계",64.6
"2021","경상북도","계",61.0
"2021","경상남도","계",60.7
"2021","제주도","계",67.4
"2022","서울특별시","계",60.4
"2022","부산광역시","계",57.1
"2022","대구광역시","계",59.1
"2022","인천광역시","계",62.7
"2022","광주광역시","계",58.6
"2022","대전광역시","계",61.6
"2022","울산광역시","계",59.2
"2022","세종특별자치시","계",63.7
"2022","경기도","계",63.9
"2022","강원도","계",61.8
"2022","충청북도","계",64.9
"2022","충청남도","계",64.3
"2022","전라북도","계",62.2
