시점,지역별,총인구수,출생아수,합계출산율,유치원,초등학교,중학교,고등학교,사설학원수,사교육참여율,매우효과있음,약간효과있음,효과보통,별로효과없음,전혀효과없음,효과모름,매우만족,약간만족,만족보통,약간불만,매우불만
2004,대구광역시,,23259,1.087,,,,,2907.0,,,,,,,,,,,,
2004,대전광역시,,15024,1.181,,,,,1745.0,,,,,,,,,,,,
2004,부산광역시,,28231,0.953,,,,,4842.0,,,,,,,,,,,,
2004,서울,,99828,1.015,,,,,11382.0,,,,,,,,,,,,
2004,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2004,울산광역시,,11151,1.241,,,,,2317.0,,,,,,,,,,,,
2004,인천광역시,,25092,1.158,,,,,2766.0,,,,,,,,,,,,
2004,전라남도,,17256,1.360,,,,,2442.0,,,,,,,,,,,,
2004,전북특별자치도,,17257,1.239,,,,,3155.0,,,,,,,,,,,,
2004,제주특별자치도,,6097,1.365,,,,,771.0,,,,,,,,,,,,
2004,충청남도,,18640,1.357,,,,,2372.0,,,,,,,,,,,,
2004,충청북도,,14331,1.272,,,,,1834.0,,,,,,,,,,,,
2005,강원특별자치도,,12657,1.188,,,,,2139.0,,,,,,,,,,,,
2005,경기도,,109533,1.183,,,,,14569.0,,,,,,,,,,,,
2005,경상남도,,28471,1.189,,,,,5053.0,,,,,,,,,,,,
2005,경상북도,,22339,1.173,,,,,3103.0,,,,,,,,,,,,
2005,광주광역시,,13327,1.105,,,,,2667.0,,,,,,,,,,,,
2005,대구광역시,,20804,1.001,,,,,2908.0,,,,,,,,,,,,
2005,대전광역시,,13950,1.107,,,,,1928.0,,,,,,,,,,,,
2005,부산광역시,,25681,0.887,,,,,4661.0,,,,,,,,,,,,
2005,서울,,90468,0.932,,,,,11603.0,,,,,,,,,,,,
2005,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2005,울산광역시,,10469,1.186,,,,,2316.0,,,,,,,,,,,,
2005,인천광역시,,23026,1.075,,,,,2678.0,,,,,,,,,,,,
2005,전라남도,,15818,1.290,,,,,2519.0,,,,,,,,,,,,
2005,전북특별자치도,,15745,1.184,,,,,3136.0,,,,,,,,,,,,
2005,제주특별자치도,,5734,1.310,,,,,838.0,,,,,,,,,,,,
2005,충청남도,,17521,1.267,,,,,2419.0,,,,,,,,,,,,
2005,충청북도,,13164,1.195,,,,,2054.0,,,,,,,,,,,,
2006,강원특별자치도,,12455,1.202,,,,,2210.0,,,,,,,,,,,,
2006,경기도,,115111,1.239,,,,,15529.0,,,,,,,,,,,,
2006,경상남도,,29524,1.254,,,,,5340.0,,,,,,,,,,,,
2006,경상북도,,22567,1.208,,,,,3317.0,,,,,,,,,,,,
2006,광주광역시,,13679,1.152,,,,,2640.0,,,,,,,,,,,,
2006,대구광역시,,20360,1.011,,,,,3041.0,,,,,,,,,,,,
2006,대전광역시,,14489,1.158,,,,,1982.0,,,,,,,,,,,,
2006,부산광역시,,25881,0.915,,,,,4709.0,,,,,,,,,,,,
2006,서울,,93922,0.980,,,,,11794.0,,,,,,,,,,,,
2006,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2006,울산광역시,,10740,1.242,,,,,2416.0,,,,,,,,,,,,
2006,인천광역시,,23711,1.116,,,,,2652.0,,,,,,,,,,,,
2006,전라남도,,15905,1.337,,,,,2547.0,,,,,,,,,,,,
2006,전북특별자치도,,15571,1.213,,,,,3084.0,,,,,,,,,,,,
2006,제주특별자치도,,5853,1.372,,,,,898.0,,,,,,,,,,,,
2006,충청남도,,18625,1.356,,,,,2528.0,,,,,,,,,,,,
2006,충청북도,,13366,1.233,,,,,2154.0,,,,,,,,,,,,
2007,강원특별자치도,,13690,1.356,,,,,2315.0,,,,,,,,,,,,
2007,경기도,,126648,1.361,,,,,15591.0,,,,,,,,,,,,
2007,경상남도,,33313,1.434,,,,,5844.0,,,,,,,,,,,,
2007,경상북도,,25062,1.369,,,,,3355.0,,,,,,,,,,,,
2007,광주광역시,,14810,1.262,,,,,2420.0,,,,,,,,,,,,
2007,대구광역시,,22295,1.137,,,,,2929.0,,,,,,,,,,,,
2007,대전광역시,,15780,1.274,,,,,2128.0,,,,,,,,,,,,
2007,부산광역시,,28426,1.024,,,,,4779.0,,,,,,,,,,,,
2007,서울,,101249,1.068,,,,,11549.0,,,,,,,,,,,,
2007,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2007,울산광역시,,11955,1.403,,,,,2346.0,,,,,,,,,,,,
2007,인천광역시,,26712,1.257,,,,,2684.0,,,,,,,,,,,,
2007,전라남도,,17844,1.542,,,,,2637.0,,,,,,,,,,,,
2007,전북특별자치도,,17228,1.380,,,,,3264.0,,,,,,,,,,,,
2007,제주특별자치도,,6178,1.489,,,,,927.0,,,,,,,,,,,,
2007,충청남도,,20630,1.506,,,,,2660.0,,,,,,,,,,,,
2007,충청북도,,15002,1.398,,,,,2221.0,,,,,,,,,,,,
2008,강원특별자치도,,12373,1.253,,,,,2322.0,,6.2,26.1,37.5,18.3,3.7,8.1,13.9,37.8,44.9,3.4,-
2008,경기도,,119397,1.285,,,,,16566.0,,5.0,23.4,39.3,22.4,5.7,4.3,12.0,41.5,39.4,5.8,1.3
2008,경상남도,,31493,1.368,,,,,6055.0,,6.1,26.3,38.1,18.1,5.0,6.4,15.4,29.9,49.3,4.6,0.8
2008,경상북도,,23538,1.313,,,,,3306.0,,6.0,26.9,40.0,16.3,3.3,7.5,10.6,36.5,49.6,3.2,-
2008,광주광역시,,13890,1.198,,,,,2760.0,,7.2,29.4,36.1,17.8,2.9,6.6,15.5,40.6,38.6,5.2,-
2008,대구광역시,,20562,1.072,,,,,2978.0,,4.0,25.8,40.3,21.8,3.8,4.4,8.8,41.2,45.6,3.3,1.1
2008,대전광역시,,14856,1.215,,,,,2134.0,,4.4,20.9,45.0,21.4,4.0,4.3,12.1,29.7,53.6,3.4,1.2
2008,부산광역시,,26670,0.980,,,,,4751.0,,6.2,25.0,40.0,19.4,4.5,4.9,11.7,41.7,41.3,4.5,0.9
2008,서울,,94736,1.010,,,,,12006.0,,5.9,27.3,38.7,20.5,4.1,3.6,8.7,41.7,43.1,5.3,1.3
2008,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2008,울산광역시,,11365,1.338,,,,,2495.0,,4.4,19.7,40.8,22.6,6.3,6.1,12.1,33.4,45.7,8.2,0.6
2008,인천광역시,,25365,1.186,,,,,2879.0,,4.5,21.9,42.1,21.5,5.1,4.8,13.5,33.9,45.2,6.5,0.9
2008,전라남도,,16363,1.449,,,,,2727.0,,8.2,26.9,43.6,15.0,2.8,3.6,20.8,30.1,46.9,1.9,0.3
2008,전북특별자치도,,15878,1.305,,,,,3313.0,,4.7,26.4,41.1,18.7,3.5,5.6,7.6,47.8,40.2,3.7,0.7
2008,제주특별자치도,,5593,1.386,,,,,936.0,,6.3,22.7,41.9,16.6,3.6,9.0,13.7,40.8,41.9,3.6,-
2008,충청남도,,19749,1.444,,,,,2825.0,,10.2,30.2,34.8,14.0,2.8,7.9,20.2,43.0,32.7,3.4,0.7
2008,충청북도,,14064,1.319,,,,,2276.0,,6.0,23.2,37.0,16.9,4.9,12.0,10.9,35.7,44.1,8.1,1.2
2009,강원특별자치도,,12112,1.248,,,,,2393.0,68.1,,,,,,,,,,,
2009,경기도,,113692,1.226,,,,,17613.0,77.4,,,,,,,,,,,
2009,경상남도,,30320,1.323,,,,,6059.0,75.6,,,,,,,,,,,
2009,경상북도,,22373,1.274,,,,,3446.0,74.0,,,,,,,,,,,
2009,광주광역시,,13101,1.137,,,,,2211.0,75.9,,,,,,,,,,,
2009,대구광역시,,19399,1.029,,,,,3435.0,77.5,,,,,,,,,,,
2009,대전광역시,,13915,1.156,,,,,2208.0,74.2,,,,,,,,,,,
2009,부산광역시,,25110,0.940,,,,,4751.0,72.4,,,,,,,,,,,
2009,서울,,89594,0.962,,,,,12086.0,79.6,,,,,,,,,,,
2009,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2009,울산광역시,,11033,1.308,,,,,2649.0,75.4,,,,,,,,,,,
2009,인천광역시,,24379,1.143,,,,,2853.0,73.9,,,,,,,,,,,
2009,전라남도,,15995,1.445,,,,,2829.0,67.7,,,,,,,,,,,
2009,전북특별자치도,,15233,1.279,,,,,3479.0,65.8,,,,,,,,,,,
2009,제주특별자치도,,5433,1.378,,,,,935.0,68.7,,,,,,,,,,,
2009,충청남도,,19257,1.408,,,,,2902.0,68.5,,,,,,,,,,,
2009,충청북도,,13903,1.317,,,,,2393.0,69.4,,,,,,,,,,,
2010,강원특별자치도,,12477,1.313,,,,,2456.0,66.5,7.8,27.4,34.0,18.5,2.9,9.4,8.1,39.6,43.8,8.1,0.5
2010,경기도,,121753,1.309,,,,,18146.0,76.5,5.0,23.5,40.3,20.3,6.3,4.5,7.6,38.7,46.7,6.4,0.6
2010,경상남도,,32203,1.413,,,,,6291.0,73.6,9.4,27.2,34.8,17.8,3.8,7.0,8.5,36.0,47.8,7.8,-
2010,경상북도,,23700,1.377,,,,,3572.0,70.0,7.7,26.0,36.7,18.3,4.0,7.4,9.5,31.0,49.0,8.9,1.7
2010,광주광역시,,13979,1.223,,,,,2476.0,74.5,5.7,26.0,38.1,19.7,4.5,6.1,7.5,37.9,47.2,6.2,1.1
2010,대구광역시,,20557,1.109,,,,,3910.0,77.4,3.9,23.6,42.2,20.2,4.7,5.3,7.0,38.6,51.4,2.7,0.4
2010,대전광역시,,14314,1.205,,,,,2218.0,75.4,9.9,26.7,38.4,17.7,3.4,4.0,8.9,36.2,48.8,4.5,1.7
2010,부산광역시,,27415,1.045,,,,,4860.0,72.7,6.0,23.5,41.9,20.9,4.2,3.5,5.2,33.6,50.1,9.3,1.9
2010,서울,,93266,1.015,,,,,13168.0,77.5,7.4,27.6,37.6,17.5,5.6,4.2,10.9,38.6,45.1,5.0,0.4
2010,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2010,울산광역시,,11432,1.369,,,,,2632.0,73.5,5.3,27.1,40.9,16.7,5.5,4.5,8.3,37.3,43.7,9.6,1.1
2010,인천광역시,,25752,1.214,,,,,2924.0,72.1,5.6,22.6,43.5,17.9,5.3,5.0,12.0,35.8,46.6,5.6,-
2010,전라남도,,16654,1.537,,,,,2897.0,65.9,13.3,24.7,33.2,16.5,4.1,8.2,8.9,44.8,39.8,6.2,0.3
2010,전북특별자치도,,16100,1.374,,,,,3842.0,65.2,8.7,29.9,35.2,18.8,2.7,4.8,10.6,32.2,49.8,5.3,2.0
2010,제주특별자치도,,5657,1.463,,,,,994.0,70.0,11.4,27.2,41.7,12.9,2.5,4.2,12.8,37.3,44.6,5.3,-
2010,충청남도,,20242,1.479,,,,,3077.0,66.2,11.0,32.9,32.8,14.6,2.5,6.2,13.2,45.8,38.7,1.0,1.3
