"지역별","시점","사설학원수"
"충청북도","2021",2268
"충청북도","2022",2381
"충청북도","2023",2474
"충청남도","2003",2460
"충청남도","2004",2372
"충청남도","2005",2419
"충청남도","2006",2528
"충청남도","2007",2660
"충청남도","2008",2825
"충청남도","2009",2902
"충청남도","2010",3077
"충청남도","2011",2944
"충청남도","2012",2738
"충청남도","2013",2684
"충청남도","2014",2732
"충청남도","2015",2758
"충청남도","2016",2782
"충청남도","2017",2883
"충청남도","2018",2961
"충청남도","2019",2923
"충청남도","2020",2939
"충청남도","2021",2926
"충청남도","2022",3072
"충청남도","2023",3127
"전북특별자치도","2003",2966
"전북특별자치도","2004",3155
"전북특별자치도","2005",3136
"전북특별자치도","2006",3084
"전북특별자치도","2007",3264
"전북특별자치도","2008",3313
"전북특별자치도","2009",3479
"전북특별자치도","2010",3842
"전북특별자치도","2011",3956
"전북특별자치도","2012",4005
"전북특별자치도","2013",3933
"전북특별자치도","2014",3989
"전북특별자치도","2015",3975
"전북특별자치도","2016",4040
"전북특별자치도","2017",3971
"전북특별자치도","2018",3938
"전북특별자치도","2019",3865
"전북특별자치도","2020",3853
"전북특별자치도","2021",3875
"전북특별자치도","2022",3961
"전북특별자치도","2023",3948
"전라남도","2003",2387
"전라남도","2004",2442
"전라남도","2005",2519
"전라남도","2006",2547
"전라남도","2007",2637
"전라남도","2008",2727
"전라남도","2009",2829
"전라남도","2010",2897
"전라남도","2011",2891
"전라남도","2012",2845
"전라남도","2013",2787
"전라남도","2014",2853
"전라남도","2015",2737
"전라남도","2016",2652
"전라남도","2017",2797
"전라남도","2018",2691
"전라남도","2019",2703
"전라남도","2020",2687
"전라남도","2021",2677
"전라남도","2022",2752
"전라남도","2023",2744
"경상북도","2003",2965
"경상북도","2004",2919
"경상북도","2005",3103
"경상북도","2006",3317
"경상북도","2007",3355
"경상북도","2008",3306
"경상북도","2009",3446
"경상북도","2010",3572
"경상북도","2011",3735
"경상북도","2012",3696
"경상북도","2013",3594
"경상북도","2014",3842
"경상북도","2015",3507
"경상북도","2016",3568
"경상북도","2017",3677
"경상북도","2018",3540
"경상북도","2019",3542
"경상북도","2020",3529
"경상북도","2021",3551
"경상북도","2022",3645
"경상북도","2023",3779
"경상남도","2003",5646
"경상남도","2004",4979
"경상남도","2005",5053
"경상남도","2006",5340
"경상남도","2007",5844
"경상남도","2008",6055
"경상남도","2009",6059
"경상남도","2010",6291
"경상남도","2011",5970
"경상남도","2012",5916
"경상남도","2013",5662
"경상남도","2014",5885
"경상남도","2015",5945
"경상남도","2016",5907
"경상남도","2017",6052
"경상남도","2018",5976
"경상남도","2019",5972
"경상남도","2020",5972
"경상남도","2021",5995
"경상남도","2022",6205
"경상남도","2023",6279
"제주특별자치도","2003",760
"제주특별자치도","2004",771
"제주특별자치도","2005",838
"제주특별자치도","2006",898
"제주특별자치도","2007",927
"제주특별자치도","2008",936
"제주특별자치도","2009",935
"제주특별자치도","2010",994
"제주특별자치도","2011",957
"제주특별자치도","2012",980
"제주특별자치도","2013",978
"제주특별자치도","2014",999
"제주특별자치도","2015",1006
"제주특별자치도","2016",996
"제주특별자치도","2017",994
"제주특별자치도","2018",1017
"제주특별자치도","2019",1026
"제주특별자치도","2020",1051
"제주특별자치도","2021",1095
"제주특별자치도","2022",1167
"제주특별자치도","2023",1212
