시점,사교육참여율,지역별
2017.01,74.000,경기
2017.02,74.175,경기
2017.03,74.350,경기
2017.04,74.525,경기
2017.05,74.700,경기
2017.06,74.875,경기
2017.07,75.050,경기
2017.08,75.225,경기
2017.09,75.400,경기
2017.10,75.575,경기
2017.11,75.750,경기
2017.12,75.925,경기
2018.01,76.100,경기
2018.02,76.283,경기
2018.03,76.467,경기
2018.04,76.650,경기
2018.05,76.833,경기
2018.06,77.017,경기
2018.07,77.200,경기
2018.08,77.383,경기
2018.09,77.567,경기
2018.10,77.750,경기
2018.11,77.933,경기
2018.12,78.117,경기
2019.01,78.300,경기
2019.02,77.475,경기
2019.03,76.650,경기
2019.04,75.825,경기
2019.05,75.000,경기
2019.06,74.175,경기
2019.07,73.350,경기
2019.08,72.525,경기
2019.09,71.700,경기
2019.10,70.875,경기
2019.11,70.050,경기
2019.12,69.225,경기
2020.01,68.400,경기
2020.02,69.167,경기
2020.03,69.933,경기
2020.04,70.700,경기
2020.05,71.467,경기
2020.06,72.233,경기
2020.07,73.000,경기
2020.08,73.767,경기
2020.09,74.533,경기
2020.10,75.300,경기
2020.11,76.067,경기
2020.12,76.833,경기
2021.01,77.600,경기
2021.02,77.975,경기
2021.03,78.350,경기
2021.04,78.725,경기
2021.05,79.100,경기
2021.06,79.475,경기
2021.07,79.850,경기
2021.08,80.225,경기
2021.09,80.600,경기
2021.10,80.975,경기
2021.11,81.350,경기
2021.12,81.725,경기
2022.01,82.100,경기
2022.02,82.083,경기
2022.03,82.067,경기
2022.04,82.050,경기
2022.05,82.033,경기
2022.06,82.017,경기
2022.07,82.000,경기
2022.08,81.983,경기
2022.09,81.967,경기
2022.10,81.950,경기
2022.11,81.933,경기
2022.12,81.917,경기
2023.01,81.900,경기
2009.01,75.600,경남
2009.02,75.433,경남
2009.03,75.267,경남
2009.04,75.100,경남
2009.05,74.933,경남
2009.06,74.767,경남
2009.07,74.600,경남
2009.08,74.433,경남
2009.09,74.267,경남
2009.10,74.100,경남
2009.11,73.933,경남
2009.12,73.767,경남
2010.01,73.600,경남
2010.02,73.250,경남
2010.03,72.900,경남
2010.04,72.550,경남
2010.05,72.200,경남
2010.06,71.850,경남
2010.07,71.500,경남
2010.08,71.150,경남
2010.09,70.800,경남
2010.10,70.450,경남
2010.11,70.100,경남
2010.12,69.750,경남
2011.01,69.400,경남
2011.02,69.333,경남
2011.03,69.267,경남
2011.04,69.200,경남
2011.05,69.133,경남
2011.06,69.067,경남
2011.07,69.000,경남
2011.08,68.933,경남
2011.09,68.867,경남
2011.10,68.800,경남
2011.11,68.733,경남
2011.12,68.667,경남
2012.01,68.600,경남
2012.02,68.492,경남
2012.03,68.383,경남
2012.04,68.275,경남
2012.05,68.167,경남
2012.06,68.058,경남
2012.07,67.950,경남
2012.08,67.842,경남
2012.09,67.733,경남
2012.10,67.625,경남
2012.11,67.517,경남
2012.12,67.408,경남
2013.01,67.300,경남
2013.02,67.283,경남
2013.03,67.267,경남
2013.04,67.250,경남
2013.05,67.233,경남
2013.06,67.217,경남
2013.07,67.200,경남
2013.08,67.183,경남
2013.09,67.167,경남
2013.10,67.150,경남
2013.11,67.133,경남
2013.12,67.117,경남
2014.01,67.100,경남
2014.02,67.083,경남
2014.03,67.067,경남
2014.04,67.050,경남
2014.05,67.033,경남
2014.06,67.017,경남
2014.07,67.000,경남
2014.08,66.983,경남
2014.09,66.967,경남
2014.10,66.950,경남
2014.11,66.933,경남
2014.12,66.917,경남
2015.01,66.900,경남
2015.02,66.758,경남
2015.03,66.617,경남
2015.04,66.475,경남
2015.05,66.333,경남
2015.06,66.192,경남
2015.07,66.050,경남
2015.08,65.908,경남
2015.09,65.767,경남
2015.10,65.625,경남
2015.11,65.483,경남
2015.12,65.342,경남
2016.01,65.200,경남
2016.02,65.600,경남
2016.03,66.000,경남
2016.04,66.400,경남
2016.05,66.800,경남
2016.06,67.200,경남
2016.07,67.600,경남
2016.08,68.000,경남
2016.09,68.400,경남
2016.10,68.800,경남
2016.11,69.200,경남
2016.12,69.600,경남
2017.01,70.000,경남
2017.02,70.025,경남
2017.03,70.050,경남
2017.04,70.075,경남
2017.05,70.100,경남
2017.06,70.125,경남
2017.07,70.150,경남
2017.08,70.175,경남
2017.09,70.200,경남
2017.10,70.225,경남
2017.11,70.250,경남
2017.12,70.275,경남
2018.01,70.300,경남
2018.02,70.442,경남
2018.03,70.583,경남
2018.04,70.725,경남
2018.05,70.867,경남
2018.06,71.008,경남
2018.07,71.150,경남
2018.08,71.292,경남
2018.09,71.433,경남
2018.10,71.575,경남
2018.11,71.717,경남
2018.12,71.858,경남
2019.01,72.000,경남
2019.02,71.400,경남
2019.03,70.800,경남
2019.04,70.200,경남
2019.05,69.600,경남
2019.06,69.000,경남
2019.07,68.400,경남
2019.08,67.800,경남
2019.09,67.200,경남
2019.10,66.600,경남
2019.11,66.000,경남
2019.12,65.400,경남
2020.01,64.800,경남
2020.02,65.458,경남
2020.03,66.117,경남
2020.04,66.775,경남
2020.05,67.433,경남
2020.06,68.092,경남
2020.07,68.750,경남
2020.08,69.408,경남
2020.09,70.067,경남
2020.10,70.725,경남
2020.11,71.383,경남
2020.12,72.042,경남
2021.01,72.700,경남
2021.02,72.917,경남
2021.03,73.133,경남
2021.04,73.350,경남
2021.05,73.567,경남
2021.06,73.783,경남
2021.07,74.000,경남
2021.08,74.217,경남
2021.09,74.433,경남
2021.10,74.650,경남
2021.11,74.867,경남
2021.12,75.083,경남
2022.01,75.300,경남
2022.02,75.267,경남
2022.03,75.233,경남
2022.04,75.200,경남
2022.05,75.167,경남
2022.06,75.133,경남
2022.07,75.100,경남
2022.08,75.067,경남
2022.09,75.033,경남
2022.10,75.000,경남
2022.11,74.967,경남
2022.12,74.933,경남
2023.01,74.900,경남
2009.01,74.000,경북
2009.02,73.667,경북
2009.03,73.333,경북
2009.04,73.000,경북
2009.05,72.667,경북
2009.06,72.333,경북
2009.07,72.000,경북
2009.08,71.667,경북
2009.09,71.333,경북
2009.10,71.000,경북
2009.11,70.667,경북
2009.12,70.333,경북
2010.01,70.000,경북
2010.02,69.875,경북
2010.03,69.750,경북
2010.04,69.625,경북
2010.05,69.500,경북
2010.06,69.375,경북
2010.07,69.250,경북
2010.08,69.125,경북
2010.09,69.000,경북
2010.10,68.875,경북
2010.11,68.750,경북
2010.12,68.625,경북
2011.01,68.500,경북
2011.02,68.425,경북
2011.03,68.350,경북
2011.04,68.275,경북
2011.05,68.200,경북
2011.06,68.125,경북
2011.07,68.050,경북
2011.08,67.975,경북
2011.09,67.900,경북
2011.10,67.825,경북
2011.11,67.750,경북
2011.12,67.675,경북
2012.01,67.600,경북
2012.02,67.325,경북
2012.03,67.050,경북
2012.04,66.775,경북
2012.05,66.500,경북
2012.06,66.225,경북
2012.07,65.950,경북
2012.08,65.675,경북
2012.09,65.400,경북
2012.10,65.125,경북
2012.11,64.850,경북
2012.12,64.575,경북
2013.01,64.300,경북
2013.02,64.317,경북
2013.03,64.333,경북
2013.04,64.350,경북
2013.05,64.367,경북
2013.06,64.383,경북
2013.07,64.400,경북
2013.08,64.417,경북
2013.09,64.433,경북
2013.10,64.450,경북
2013.11,64.467,경북
2013.12,64.483,경북
2014.01,64.500,경북
2014.02,64.500,경북
2014.03,64.500,경북
2014.04,64.500,경북
2014.05,64.500,경북
2014.06,64.500,경북
2014.07,64.500,경북
2014.08,64.500,경북
2014.09,64.500,경북
2014.10,64.500,경북
2014.11,64.500,경북
2014.12,64.500,경북
2015.01,64.500,경북
2015.02,64.458,경북
2015.03,64.417,경북
2015.04,64.375,경북
2015.05,64.333,경북
2015.06,64.292,경북
2015.07,64.250,경북
2015.08,64.208,경북
2015.09,64.167,경북
2015.10,64.125,경북
2015.11,64.083,경북
2015.12,64.042,경북
2016.01,64.000,경북
2016.02,64.275,경북
2016.03,64.550,경북
2016.04,64.825,경북
2016.05,65.100,경북
2016.06,65.375,경북
2016.07,65.650,경북
