시점,사설학원수,지역별
2007.03,15753.500,경기
2007.04,15834.750,경기
2007.05,15916.000,경기
2007.06,15997.250,경기
2007.07,16078.500,경기
2007.08,16159.750,경기
2007.09,16241.000,경기
2007.10,16322.250,경기
2007.11,16403.500,경기
2007.12,16484.750,경기
2008.01,16566.000,경기
2008.02,16653.250,경기
2008.03,16740.500,경기
2008.04,16827.750,경기
2008.05,16915.000,경기
2008.06,17002.250,경기
2008.07,17089.500,경기
2008.08,17176.750,경기
2008.09,17264.000,경기
2008.10,17351.250,경기
2008.11,17438.500,경기
2008.12,17525.750,경기
2009.01,17613.000,경기
2009.02,17657.417,경기
2009.03,17701.833,경기
2009.04,17746.250,경기
2009.05,17790.667,경기
2009.06,17835.083,경기
2009.07,17879.500,경기
2009.08,17923.917,경기
2009.09,17968.333,경기
2009.10,18012.750,경기
2009.11,18057.167,경기
2009.12,18101.583,경기
2010.01,18146.000,경기
2010.02,18190.000,경기
2010.03,18234.000,경기
2010.04,18278.000,경기
2010.05,18322.000,경기
2010.06,18366.000,경기
2010.07,18410.000,경기
2010.08,18454.000,경기
2010.09,18498.000,경기
2010.10,18542.000,경기
2010.11,18586.000,경기
2010.12,18630.000,경기
2011.01,18674.000,경기
2011.02,18662.000,경기
2011.03,18650.000,경기
2011.04,18638.000,경기
2011.05,18626.000,경기
2011.06,18614.000,경기
2011.07,18602.000,경기
2011.08,18590.000,경기
2011.09,18578.000,경기
2011.10,18566.000,경기
2011.11,18554.000,경기
2011.12,18542.000,경기
2012.01,18530.000,경기
2012.02,18497.000,경기
2012.03,18464.000,경기
2012.04,18431.000,경기
2012.05,18398.000,경기
2012.06,18365.000,경기
2012.07,18332.000,경기
2012.08,18299.000,경기
2012.09,18266.000,경기
2012.10,18233.000,경기
2012.11,18200.000,경기
2012.12,18167.000,경기
2013.01,18134.000,경기
2013.02,18129.000,경기
2013.03,18124.000,경기
2013.04,18119.000,경기
2013.05,18114.000,경기
2013.06,18109.000,경기
2013.07,18104.000,경기
2013.08,18099.000,경기
2013.09,18094.000,경기
2013.10,18089.000,경기
2013.11,18084.000,경기
2013.12,18079.000,경기
2014.01,18074.000,경기
2014.02,18243.333,경기
2014.03,18412.667,경기
2014.04,18582.000,경기
2014.05,18751.333,경기
2014.06,18920.667,경기
2014.07,19090.000,경기
2014.08,19259.333,경기
2014.09,19428.667,경기
2014.10,19598.000,경기
2014.11,19767.333,경기
2014.12,19936.667,경기
2015.01,20106.000,경기
2015.02,20052.583,경기
2015.03,19999.167,경기
2015.04,19945.750,경기
2015.05,19892.333,경기
2015.06,19838.917,경기
2015.07,19785.500,경기
2015.08,19732.083,경기
2015.09,19678.667,경기
2015.10,19625.250,경기
2015.11,19571.833,경기
2015.12,19518.417,경기
2016.01,19465.000,경기
2016.02,19525.833,경기
2016.03,19586.667,경기
2016.04,19647.500,경기
2016.05,19708.333,경기
2016.06,19769.167,경기
2016.07,19830.000,경기
2016.08,19890.833,경기
2016.09,19951.667,경기
2016.10,20012.500,경기
2016.11,20073.333,경기
2016.12,20134.167,경기
2017.01,20195.000,경기
2017.02,20243.833,경기
2017.03,20292.667,경기
2017.04,20341.500,경기
2017.05,20390.333,경기
2017.06,20439.167,경기
2017.07,20488.000,경기
2017.08,20536.833,경기
2017.09,20585.667,경기
2017.10,20634.500,경기
2017.11,20683.333,경기
2017.12,20732.167,경기
2018.01,20781.000,경기
2018.02,20811.333,경기
2018.03,20841.667,경기
2018.04,20872.000,경기
2018.05,20902.333,경기
2018.06,20932.667,경기
2018.07,20963.000,경기
2018.08,20993.333,경기
2018.09,21023.667,경기
2018.10,21054.000,경기
2018.11,21084.333,경기
2018.12,21114.667,경기
2019.01,21145.000,경기
2019.02,21192.583,경기
2019.03,21240.167,경기
2019.04,21287.750,경기
2019.05,21335.333,경기
2019.06,21382.917,경기
2019.07,21430.500,경기
2019.08,21478.083,경기
2019.09,21525.667,경기
2019.10,21573.250,경기
2019.11,21620.833,경기
2019.12,21668.417,경기
2020.01,21716.000,경기
2020.02,21713.667,경기
2020.03,21711.333,경기
2020.04,21709.000,경기
2020.05,21706.667,경기
2020.06,21704.333,경기
2020.07,21702.000,경기
2020.08,21699.667,경기
2020.09,21697.333,경기
2020.10,21695.000,경기
2020.11,21692.667,경기
2020.12,21690.333,경기
2021.01,21688.000,경기
2021.02,21815.833,경기
2021.03,21943.667,경기
2021.04,22071.500,경기
2021.05,22199.333,경기
2021.06,22327.167,경기
2021.07,22455.000,경기
2021.08,22582.833,경기
2021.09,22710.667,경기
2021.10,22838.500,경기
2021.11,22966.333,경기
2021.12,23094.167,경기
2022.01,23222.000,경기
2022.02,23322.000,경기
2022.03,23422.000,경기
2022.04,23522.000,경기
2022.05,23622.000,경기
2022.06,23722.000,경기
2022.07,23822.000,경기
2022.08,23922.000,경기
2022.09,24022.000,경기
2022.10,24122.000,경기
2022.11,24222.000,경기
2022.12,24322.000,경기
2023.01,24422.000,경기
2003.01,5646.000,경남
2003.02,5590.417,경남
2003.03,5534.833,경남
2003.04,5479.250,경남
2003.05,5423.667,경남
2003.06,5368.083,경남
2003.07,5312.500,경남
2003.08,5256.917,경남
2003.09,5201.333,경남
2003.10,5145.750,경남
2003.11,5090.167,경남
2003.12,5034.583,경남
2004.01,4979.000,경남
2004.02,4985.167,경남
2004.03,4991.333,경남
2004.04,4997.500,경남
2004.05,5003.667,경남
2004.06,5009.833,경남
2004.07,5016.000,경남
2004.08,5022.167,경남
2004.09,5028.333,경남
2004.10,5034.500,경남
2004.11,5040.667,경남
2004.12,5046.833,경남
2005.01,5053.000,경남
2005.02,5076.917,경남
2005.03,5100.833,경남
2005.04,5124.750,경남
2005.05,5148.667,경남
2005.06,5172.583,경남
2005.07,5196.500,경남
2005.08,5220.417,경남
2005.09,5244.333,경남
2005.10,5268.250,경남
2005.11,5292.167,경남
2005.12,5316.083,경남
2006.01,5340.000,경남
2006.02,5382.000,경남
2006.03,5424.000,경남
2006.04,5466.000,경남
2006.05,5508.000,경남
2006.06,5550.000,경남
2006.07,5592.000,경남
2006.08,5634.000,경남
2006.09,5676.000,경남
2006.10,5718.000,경남
2006.11,5760.000,경남
2006.12,5802.000,경남
2007.01,5844.000,경남
2007.02,5861.583,경남
2007.03,5879.167,경남
2007.04,5896.750,경남
2007.05,5914.333,경남
2007.06,5931.917,경남
2007.07,5949.500,경남
2007.08,5967.083,경남
2007.09,5984.667,경남
2007.10,6002.250,경남
2007.11,6019.833,경남
2007.12,6037.417,경남
2008.01,6055.000,경남
2008.02,6055.333,경남
2008.03,6055.667,경남
2008.04,6056.000,경남
2008.05,6056.333,경남
2008.06,6056.667,경남
2008.07,6057.000,경남
2008.08,6057.333,경남
2008.09,6057.667,경남
2008.10,6058.000,경남
2008.11,6058.333,경남
2008.12,6058.667,경남
2009.01,6059.000,경남
2009.02,6078.333,경남
2009.03,6097.667,경남
2009.04,6117.000,경남
2009.05,6136.333,경남
2009.06,6155.667,경남
2009.07,6175.000,경남
2009.08,6194.333,경남
2009.09,6213.667,경남
2009.10,6233.000,경남
2009.11,6252.333,경남
2009.12,6271.667,경남
2010.01,6291.000,경남
2010.02,6264.250,경남
2010.03,6237.500,경남
2010.04,6210.750,경남
2010.05,6184.000,경남
2010.06,6157.250,경남
2010.07,6130.500,경남
2010.08,6103.750,경남
2010.09,6077.000,경남
2010.10,6050.250,경남
2010.11,6023.500,경남
2010.12,5996.750,경남
2011.01,5970.000,경남
2011.02,5965.500,경남
2011.03,5961.000,경남
2011.04,5956.500,경남
2011.05,5952.000,경남
2011.06,5947.500,경남
2011.07,5943.000,경남
2011.08,5938.500,경남
2011.09,5934.000,경남
2011.10,5929.500,경남
2011.11,5925.000,경남
2011.12,5920.500,경남
2012.01,5916.000,경남
2012.02,5894.833,경남
2012.03,5873.667,경남
2012.04,5852.500,경남
2012.05,5831.333,경남
2012.06,5810.167,경남
2012.07,5789.000,경남
2012.08,5767.833,경남
2012.09,5746.667,경남
2012.10,5725.500,경남
2012.11,5704.333,경남
2012.12,5683.167,경남
2013.01,5662.000,경남
2013.02,5680.583,경남
2013.03,5699.167,경남
2013.04,5717.750,경남
2013.05,5736.333,경남
2013.06,5754.917,경남
2013.07,5773.500,경남
2013.08,5792.083,경남
2013.09,5810.667,경남
2013.10,5829.250,경남
2013.11,5847.833,경남
2013.12,5866.417,경남
2014.01,5885.000,경남
2014.02,5890.000,경남
2014.03,5895.000,경남
2014.04,5900.000,경남
2014.05,5905.000,경남
2014.06,5910.000,경남
2014.07,5915.000,경남
2014.08,5920.000,경남
2014.09,5925.000,경남
2014.10,5930.000,경남
2014.11,5935.000,경남
2014.12,5940.000,경남
2015.01,5945.000,경남
2015.02,5941.833,경남
2015.03,5938.667,경남
2015.04,5935.500,경남
2015.05,5932.333,경남
2015.06,5929.167,경남
2015.07,5926.000,경남
2015.08,5922.833,경남
2015.09,5919.667,경남
2015.10,5916.500,경남
2015.11,5913.333,경남
2015.12,5910.167,경남
2016.01,5907.000,경남
2016.02,5919.083,경남
2016.03,5931.167,경남
2016.04,5943.250,경남
2016.05,5955.333,경남
2016.06,5967.417,경남
2016.07,5979.500,경남
2016.08,5991.583,경남
2016.09,6003.667,경남
2016.10,6015.750,경남
2016.11,6027.833,경남
2016.12,6039.917,경남
2017.01,6052.000,경남
2017.02,6045.667,경남
2017.03,6039.333,경남
2017.04,6033.000,경남
2017.05,6026.667,경남
2017.06,6020.333,경남
2017.07,6014.000,경남
2017.08,6007.667,경남
2017.09,6001.333,경남
2017.10,5995.000,경남
2017.11,5988.667,경남
2017.12,5982.333,경남
2018.01,5976.000,경남
2018.02,5975.667,경남
2018.03,5975.333,경남
2018.04,5975.000,경남
2018.05,5974.667,경남
2018.06,5974.333,경남
2018.07,5974.000,경남
2018.08,5973.667,경남
2018.09,5973.333,경남
2018.10,5973.000,경남
2018.11,5972.667,경남
2018.12,5972.333,경남
2019.01,5972.000,경남
2019.02,5972.000,경남
2019.03,5972.000,경남
2019.04,5972.000,경남
2019.05,5972.000,경남
2019.06,5972.000,경남
2019.07,5972.000,경남
2019.08,5972.000,경남
2019.09,5972.000,경남
2019.10,5972.000,경남
2019.11,5972.000,경남
2019.12,5972.000,경남
2020.01,5972.000,경남
2020.02,5973.917,경남
2020.03,5975.833,경남
2020.04,5977.750,경남
2020.05,5979.667,경남
2020.06,5981.583,경남
2020.07,5983.500,경남
2020.08,5985.417,경남
2020.09,5987.333,경남
2020.10,5989.250,경남
2020.11,5991.167,경남
2020.12,5993.083,경남
2021.01,5995.000,경남
2021.02,6012.500,경남
2021.03,6030.000,경남
2021.04,6047.500,경남
2021.05,6065.000,경남
2021.06,6082.500,경남
2021.07,6100.000,경남
2021.08,6117.500,경남
2021.09,6135.000,경남
2021.10,6152.500,경남
2021.11,6170.000,경남
2021.12,6187.500,경남
2022.01,6205.000,경남
2022.02,6211.167,경남
2022.03,6217.333,경남
2022.04,6223.500,경남
2022.05,6229.667,경남
2022.06,6235.833,경남
2022.07,6242.000,경남
2022.08,6248.167,경남
2022.09,6254.333,경남
2022.10,6260.500,경남
2022.11,6266.667,경남
2022.12,6272.833,경남
2023.01,6279.000,경남
2003.01,2965.000,경북
2003.02,2961.167,경북
2003.03,2957.333,경북
2003.04,2953.500,경북
2003.05,2949.667,경북
2003.06,2945.833,경북
2003.07,2942.000,경북
2003.08,2938.167,경북
2003.09,2934.333,경북
2003.10,2930.500,경북
2003.11,2926.667,경북
2003.12,2922.833,경북
2004.01,2919.000,경북
2004.02,2934.333,경북
2004.03,2949.667,경북
2004.04,2965.000,경북
2004.05,2980.333,경북
2004.06,2995.667,경북
2004.07,3011.000,경북
2004.08,3026.333,경북
2004.09,3041.667,경북
2004.10,3057.000,경북
2004.11,3072.333,경북
2004.12,3087.667,경북
2005.01,3103.000,경북
2005.02,3120.833,경북
2005.03,3138.667,경북
2005.04,3156.500,경북
2005.05,3174.333,경북
2005.06,3192.167,경북
2005.07,3210.000,경북
2005.08,3227.833,경북
2005.09,3245.667,경북
2005.10,3263.500,경북
2005.11,3281.333,경북
2005.12,3299.167,경북
2006.01,3317.000,경북
2006.02,3320.167,경북
2006.03,3323.333,경북
2006.04,3326.500,경북
2006.05,3329.667,경북
2006.06,3332.833,경북
2006.07,3336.000,경북
2006.08,3339.167,경북
2006.09,3342.333,경북
2006.10,3345.500,경북
2006.11,3348.667,경북
2006.12,3351.833,경북
2007.01,3355.000,경북
2007.02,3350.917,경북
2007.03,3346.833,경북
2007.04,3342.750,경북
2007.05,3338.667,경북
2007.06,3334.583,경북
2007.07,3330.500,경북
2007.08,3326.417,경북
2007.09,3322.333,경북
2007.10,3318.250,경북
2007.11,3314.167,경북
2007.12,3310.083,경북
2008.01,3306.000,경북
2008.02,3317.667,경북
2008.03,3329.333,경북
2008.04,3341.000,경북
2008.05,3352.667,경북
2008.06,3364.333,경북
2008.07,3376.000,경북
2008.08,3387.667,경북
2008.09,3399.333,경북
2008.10,3411.000,경북
2008.11,3422.667,경북
2008.12,3434.333,경북
2009.01,3446.000,경북
2009.02,3456.500,경북
2009.03,3467.000,경북
2009.04,3477.500,경북
2009.05,3488.000,경북
2009.06,3498.500,경북
2009.07,3509.000,경북
2009.08,3519.500,경북
2009.09,3530.000,경북
2009.10,3540.500,경북
2009.11,3551.000,경북
2009.12,3561.500,경북
2010.01,3572.000,경북
2010.02,3585.583,경북
2010.03,3599.167,경북
2010.04,3612.750,경북
2010.05,3626.333,경북
2010.06,3639.917,경북
2010.07,3653.500,경북
2010.08,3667.083,경북
2010.09,3680.667,경북
2010.10,3694.250,경북
2010.11,3707.833,경북
2010.12,3721.417,경북
2011.01,3735.000,경북
2011.02,3731.750,경북
2011.03,3728.500,경북
2011.04,3725.250,경북
2011.05,3722.000,경북
2011.06,3718.750,경북
2011.07,3715.500,경북
2011.08,3712.250,경북
2011.09,3709.000,경북
2011.10,3705.750,경북
2011.11,3702.500,경북
2011.12,3699.250,경북
2012.01,3696.000,경북
2012.02,3687.500,경북
2012.03,3679.000,경북
2012.04,3670.500,경북
2012.05,3662.000,경북
2012.06,3653.500,경북
2012.07,3645.000,경북
2012.08,3636.500,경북
2012.09,3628.000,경북
2012.10,3619.500,경북
2012.11,3611.000,경북
2012.12,3602.500,경북
2013.01,3594.000,경북
2013.02,3614.667,경북
2013.03,3635.333,경북
2013.04,3656.000,경북
2013.05,3676.667,경북
2013.06,3697.333,경북
2013.07,3718.000,경북
2013.08,3738.667,경북
2013.09,3759.333,경북
2013.10,3780.000,경북
2013.11,3800.667,경북
2013.12,3821.333,경북
2014.01,3842.000,경북
2014.02,3814.083,경북
2014.03,3786.167,경북
2014.04,3758.250,경북
2014.05,3730.333,경북
2014.06,3702.417,경북
2014.07,3674.500,경북
2014.08,3646.583,경북
2014.09,3618.667,경북
2014.10,3590.750,경북
2014.11,3562.833,경북
2014.12,3534.917,경북
2015.01,3507.000,경북
2015.02,3512.083,경북
2015.03,3517.167,경북
2015.04,3522.250,경북
2015.05,3527.333,경북
2015.06,3532.417,경북
2015.07,3537.500,경북
2015.08,3542.583,경북
2015.09,3547.667,경북
2015.10,3552.750,경북
2015.11,3557.833,경북
2015.12,3562.917,경북
2016.01,3568.000,경북
2016.02,3577.083,경북
2016.03,3586.167,경북
2016.04,3595.250,경북
2016.05,3604.333,경북
2016.06,3613.417,경북
2016.07,3622.500,경북
2016.08,3631.583,경북
2016.09,3640.667,경북
2016.10,3649.750,경북
2016.11,3658.833,경북
2016.12,3667.917,경북
2017.01,3677.000,경북
2017.02,3665.583,경북
2017.03,3654.167,경북
2017.04,3642.750,경북
2017.05,3631.333,경북
2017.06,3619.917,경북
2017.07,3608.500,경북
2017.08,3597.083,경북
2017.09,3585.667,경북
2017.10,3574.250,경북
2017.11,3562.833,경북
2017.12,3551.417,경북
2018.01,3540.000,경북
2018.02,3540.167,경북
2018.03,3540.333,경북
2018.04,3540.500,경북
2018.05,3540.667,경북
2018.06,3540.833,경북
2018.07,3541.000,경북
2018.08,3541.167,경북
2018.09,3541.333,경북
2018.10,3541.500,경북
2018.11,3541.667,경북
2018.12,3541.833,경북
2019.01,3542.000,경북
2019.02,3540.917,경북
2019.03,3539.833,경북
2019.04,3538.750,경북
2019.05,3537.667,경북
2019.06,3536.583,경북
2019.07,3535.500,경북
2019.08,3534.417,경북
2019.09,3533.333,경북
2019.10,3532.250,경북
2019.11,3531.167,경북
2019.12,3530.083,경북
2020.01,3529.000,경북
2020.02,3530.833,경북
2020.03,3532.667,경북
2020.04,3534.500,경북
2020.05,3536.333,경북
2020.06,3538.167,경북
2020.07,3540.000,경북
2020.08,3541.833,경북
2020.09,3543.667,경북
2020.10,3545.500,경북
2020.11,3547.333,경북
2020.12,3549.167,경북
2021.01,3551.000,경북
2021.02,3558.833,경북
2021.03,3566.667,경북
2021.04,3574.500,경북
2021.05,3582.333,경북
2021.06,3590.167,경북
2021.07,3598.000,경북
2021.08,3605.833,경북
2021.09,3613.667,경북
2021.10,3621.500,경북
2021.11,3629.333,경북
2021.12,3637.167,경북
2022.01,3645.000,경북
2022.02,3656.167,경북
2022.03,3667.333,경북
2022.04,3678.500,경북
2022.05,3689.667,경북
2022.06,3700.833,경북
2022.07,3712.000,경북
2022.08,3723.167,경북
2022.09,3734.333,경북
2022.10,3745.500,경북
2022.11,3756.667,경북
2022.12,3767.833,경북
2023.01,3779.000,경북
2003.01,2646.000,광주
2003.02,2635.083,광주
2003.03,2624.167,광주
2003.04,2613.250,광주
2003.05,2602.333,광주
2003.06,2591.417,광주
2003.07,2580.500,광주
2003.08,2569.583,광주
2003.09,2558.667,광주
2003.10,2547.750,광주
2003.11,2536.833,광주
2003.12,2525.917,광주
2004.01,2515.000,광주
2004.02,2527.667,광주
2004.03,2540.333,광주
2004.04,2553.000,광주
2004.05,2565.667,광주
2004.06,2578.333,광주
2004.07,2591.000,광주
2004.08,2603.667,광주
2004.09,2616.333,광주
2004.10,2629.000,광주
2004.11,2641.667,광주
2004.12,2654.333,광주
2005.01,2667.000,광주
2005.02,2664.750,광주
2005.03,2662.500,광주
2005.04,2660.250,광주
2005.05,2658.000,광주
2005.06,2655.750,광주
2005.07,2653.500,광주
2005.08,2651.250,광주
2005.09,2649.000,광주
2005.10,2646.750,광주
2005.11,2644.500,광주
2005.12,2642.250,광주
2006.01,2640.000,광주
2006.02,2621.667,광주
2006.03,2603.333,광주
2006.04,2585.000,광주
2006.05,2566.667,광주
2006.06,2548.333,광주
2006.07,2530.000,광주
2006.08,2511.667,광주
2006.09,2493.333,광주
2006.10,2475.000,광주
2006.11,2456.667,광주
2006.12,2438.333,광주
2007.01,2420.000,광주
2007.02,2448.333,광주
2007.03,2476.667,광주
2007.04,2505.000,광주
2007.05,2533.333,광주
2007.06,2561.667,광주
2007.07,2590.000,광주
2007.08,2618.333,광주
2007.09,2646.667,광주
2007.10,2675.000,광주
2007.11,2703.333,광주
2007.12,2731.667,광주
2008.01,2760.000,광주
2008.02,2714.250,광주
2008.03,2668.500,광주
2008.04,2622.750,광주
2008.05,2577.000,광주
2008.06,2531.250,광주
2008.07,2485.500,광주
2008.08,2439.750,광주
2008.09,2394.000,광주
2008.10,2348.250,광주
2008.11,2302.500,광주
2008.12,2256.750,광주
2009.01,2211.000,광주
2009.02,2233.083,광주
2009.03,2255.167,광주
2009.04,2277.250,광주
2009.05,2299.333,광주
2009.06,2321.417,광주
2009.07,2343.500,광주
2009.08,2365.583,광주
2009.09,2387.667,광주
2009.10,2409.750,광주
2009.11,2431.833,광주
2009.12,2453.917,광주
2010.01,2476.000,광주
2010.02,2459.750,광주
2010.03,2443.500,광주
2010.04,2427.250,광주
2010.05,2411.000,광주
2010.06,2394.750,광주
2010.07,2378.500,광주
2010.08,2362.250,광주
2010.09,2346.000,광주
2010.10,2329.750,광주
2010.11,2313.500,광주
2010.12,2297.250,광주
2011.01,2281.000,광주
2011.02,2260.750,광주
2011.03,2240.500,광주
2011.04,2220.250,광주
2011.05,2200.000,광주
2011.06,2179.750,광주
2011.07,2159.500,광주
2011.08,2139.250,광주
2011.09,2119.000,광주
2011.10,2098.750,광주
2011.11,2078.500,광주
2011.12,2058.250,광주
