지역별,시점,아파트매매가격지수,인구밀도,사교육참여율,고용률,여성초혼연령,인터넷이용률,합계출산율,근로시간
경남,2016.02,108.7,317.0,70.0,59.8,29.93,90.8,1.347,161.7
경북,2016.02,109.8,140.9,67.3,60.2,29.76,87.0,1.384,162.5
광주,2016.02,96.9,2994.0,68.7,57.5,30.17,91.8,1.158,161.7
대구,2016.02,99.8,2783.8,74.0,57.5,30.29,92.0,1.176,165.2
대전,2016.02,97.2,2843.8,72.7,59.2,29.95,90.8,1.182,161.9
부산,2016.02,89.3,4463.6,73.0,56.0,30.65,92.8,1.085,167.2
서울,2016.02,84.4,16184.5,77.6,59.3,31.04,88.3,0.931,162.6
울산,2016.02,105.0,1097.7,69.4,57.6,29.77,96.7,1.405,156.4
인천,2016.02,94.1,2743.2,68.0,60.6,30.08,88.3,1.133,165.6
전남,2016.02,90.8,145.7,57.0,59.0,29.52,81.6,1.454,165.8
전북,2016.02,97.0,227.0,64.6,56.5,29.66,86.2,1.243,161.1
제주,2016.02,93.8,338.7,66.3,68.2,30.43,86.4,1.421,171.7
충남,2016.02,107.5,259.8,64.6,57.6,29.32,85.4,1.385,160.4
충북,2016.02,105.9,216.7,63.0,58.8,29.58,87.2,1.348,162.3
강원,2016.03,89.7,90.4,65.5,56.3,29.82,76.7,1.218,162.0
경기,2016.03,95.4,1248.7,74.0,61.2,30.23,89.2,1.173,164.7
경남,2016.03,108.5,317.0,70.0,59.8,29.94,90.8,1.336,161.5
경북,2016.03,108.8,140.8,67.3,61.6,29.77,87.2,1.373,162.4
광주,2016.03,96.5,2993.1,68.7,57.2,30.18,92.0,1.149,161.8
대구,2016.03,98.8,2783.0,74.0,58.3,30.3,92.2,1.166,165.0
대전,2016.03,97.2,2842.3,72.7,59.3,29.96,90.9,1.172,161.7
부산,2016.03,89.8,4461.0,73.0,55.9,30.66,92.8,1.075,167.0
서울,2016.03,84.5,16175.6,77.6,58.8,31.06,88.6,0.923,162.4
울산,2016.03,105.4,1097.0,69.4,58.2,29.79,96.7,1.392,156.2
인천,2016.03,94.1,2744.1,68.1,61.3,30.09,88.3,1.121,165.3
전남,2016.03,90.3,145.7,57.1,61.6,29.55,81.8,1.442,165.7
전북,2016.03,97.1,227.0,64.6,58.9,29.67,86.6,1.234,161.1
제주,2016.03,93.5,339.6,66.3,67.9,30.43,86.4,1.411,171.5
충남,2016.03,107.0,260.1,64.6,59.7,29.35,85.8,1.375,160.2
충북,2016.03,104.9,216.8,63.1,61.6,29.59,87.3,1.337,162.1
강원,2016.04,90.9,90.4,65.5,59.1,29.83,77.4,1.209,161.8
경기,2016.04,95.5,1250.1,74.0,61.5,30.24,89.3,1.163,164.5
경남,2016.04,108.0,317.1,70.0,60.5,29.95,90.9,1.325,161.3
경북,2016.04,108.6,140.8,67.3,62.4,29.77,87.4,1.361,162.2
광주,2016.04,96.1,2992.2,68.7,57.8,30.19,92.2,1.139,161.8
대구,2016.04,97.4,2782.3,74.0,58.9,30.31,92.3,1.156,164.8
대전,2016.04,96.7,2840.8,72.7,59.8,29.96,91.0,1.163,161.5
부산,2016.04,90.2,4458.3,72.9,56.5,30.67,92.9,1.065,166.7
서울,2016.04,84.8,16166.7,77.6,59.3,31.07,88.8,0.914,162.3
울산,2016.04,104.9,1096.3,69.5,58.8,29.8,96.7,1.379,156.0
인천,2016.04,94.5,2745.0,68.1,62.0,30.1,88.4,1.11,165.1
전남,2016.04,91.0,145.6,57.1,63.1,29.58,82.0,1.431,165.6
전북,2016.04,97.1,226.9,64.6,60.5,29.67,86.9,1.226,161.1
제주,2016.04,96.2,340.4,66.3,68.6,30.43,86.4,1.4,171.3
충남,2016.04,106.6,260.4,64.6,61.9,29.38,86.1,1.365,159.9
충북,2016.04,104.1,216.8,63.1,62.1,29.6,87.3,1.327,161.8
강원,2016.05,90.6,90.4,65.5,60.3,29.84,78.1,1.199,161.5
경기,2016.05,95.7,1251.6,74.1,62.0,30.25,89.4,1.152,164.2
경남,2016.05,107.0,317.1,70.0,60.5,29.96,90.9,1.314,161.1
경북,2016.05,108.0,140.8,67.3,63.4,29.78,87.6,1.349,162.1
광주,2016.05,96.1,2991.4,68.7,58.7,30.21,92.4,1.13,161.8
대구,2016.05,96.7,2781.5,74.0,60.0,30.32,92.5,1.146,164.6
대전,2016.05,96.8,2839.2,72.7,60.0,29.96,91.1,1.153,161.3
부산,2016.05,90.3,4455.7,72.9,56.2,30.68,93.0,1.055,166.5
서울,2016.05,85.5,16157.9,77.7,60.2,31.09,89.0,0.905,162.1
울산,2016.05,105.3,1095.5,69.5,58.9,29.82,96.8,1.366,155.8
인천,2016.05,94.7,2745.9,68.1,62.6,30.11,88.5,1.098,164.8
전남,2016.05,90.8,145.6,57.1,63.4,29.6,82.2,1.419,165.5
전북,2016.05,96.8,226.8,64.6,61.1,29.68,87.2,1.218,161.1
제주,2016.05,95.9,341.2,66.4,69.3,30.43,86.5,1.39,171.0
충남,2016.05,105.5,260.7,64.6,63.0,29.4,86.5,1.355,159.6
충북,2016.05,104.4,216.9,63.2,63.1,29.61,87.4,1.317,161.6
강원,2016.06,91.8,90.4,65.5,60.6,29.86,78.8,1.189,161.3
경기,2016.06,96.1,1253.0,74.1,62.5,30.26,89.6,1.142,164.0
경남,2016.06,106.8,317.2,70.0,60.9,29.98,90.9,1.303,161.0
경북,2016.06,107.2,140.8,67.3,63.9,29.78,87.8,1.338,162.0
광주,2016.06,96.0,2990.5,68.7,58.8,30.22,92.6,1.12,161.8
대구,2016.06,96.4,2780.8,74.0,59.9,30.34,92.6,1.136,164.4
대전,2016.06,96.9,2837.7,72.7,60.1,29.96,91.2,1.143,161.2
부산,2016.06,90.9,4453.1,72.9,56.3,30.68,93.0,1.045,166.3
서울,2016.06,86.5,16149.0,77.7,60.4,31.1,89.2,0.897,162.0
울산,2016.06,104.7,1094.8,69.5,59.0,29.84,96.8,1.353,155.6
인천,2016.06,95.1,2746.9,68.2,62.1,30.12,88.6,1.087,164.6
전남,2016.06,91.1,145.6,57.2,63.6,29.63,82.4,1.407,165.4
전북,2016.06,97.2,226.8,64.6,61.4,29.68,87.5,1.209,161.0
제주,2016.06,97.3,342.0,66.4,68.5,30.44,86.5,1.379,170.8
충남,2016.06,105.3,261.0,64.6,63.1,29.43,86.8,1.345,159.3
충북,2016.06,103.7,217.0,63.2,63.2,29.62,87.4,1.307,161.4
강원,2016.07,93.0,90.4,65.5,60.1,29.87,79.6,1.18,161.1
경기,2016.07,96.8,1254.4,74.1,62.6,30.26,89.7,1.132,163.7
경남,2016.07,107.2,317.2,70.0,61.0,29.99,90.9,1.292,160.8
경북,2016.07,106.7,140.8,67.3,63.1,29.79,88.0,1.326,161.9
광주,2016.07,96.5,2989.6,68.7,58.7,30.23,92.9,1.11,161.8
대구,2016.07,96.3,2780.0,74.0,60.2,30.35,92.8,1.126,164.2
대전,2016.07,97.4,2836.2,72.7,60.3,29.96,91.3,1.134,161.0
부산,2016.07,91.8,4450.5,72.9,56.4,30.69,93.0,1.035,166.1
서울,2016.07,87.9,16140.1,77.7,60.4,31.12,89.4,0.888,161.9
울산,2016.07,104.6,1094.1,69.6,59.0,29.85,96.8,1.34,155.4
인천,2016.07,95.9,2747.8,68.2,62.9,30.14,88.6,1.076,164.3
전남,2016.07,91.2,145.5,57.2,63.9,29.66,82.6,1.396,165.2
전북,2016.07,97.3,226.7,64.6,61.3,29.69,87.8,1.201,161.0
제주,2016.07,98.6,342.8,66.4,68.2,30.44,86.5,1.368,170.6
충남,2016.07,104.8,261.4,64.6,63.3,29.46,87.2,1.336,159.0
충북,2016.07,103.1,217.1,63.3,63.3,29.62,87.5,1.296,161.1
강원,2016.08,94.2,90.4,65.5,60.1,29.88,80.3,1.171,160.8
경기,2016.08,97.6,1255.9,74.1,62.3,30.27,89.8,1.121,163.4
경남,2016.08,107.4,317.2,70.0,60.8,30.0,90.9,1.282,160.6
경북,2016.08,106.4,140.8,67.3,63.2,29.8,88.2,1.314,161.8
광주,2016.08,97.1,2988.8,68.7,58.3,30.25,93.1,1.101,161.8
대구,2016.08,96.0,2779.2,74.0,60.1,30.36,93.0,1.117,164.0
대전,2016.08,98.1,2834.6,72.8,59.7,29.96,91.4,1.124,160.8
부산,2016.08,93.4,4447.9,72.9,56.2,30.7,93.1,1.026,165.9
서울,2016.08,89.2,16131.3,77.7,60.0,31.14,89.6,0.879,161.7
울산,2016.08,104.3,1093.3,69.6,59.0,29.87,96.9,1.326,155.2
인천,2016.08,96.9,2748.7,68.2,62.3,30.15,88.7,1.064,164.0
전남,2016.08,92.2,145.5,57.2,64.5,29.68,82.8,1.384,165.1
전북,2016.08,97.6,226.6,64.6,61.8,29.7,88.1,1.193,161.0
제주,2016.08,98.9,343.6,66.4,69.8,30.44,86.6,1.358,170.3
충남,2016.08,105.0,261.7,64.6,63.1,29.48,87.6,1.326,158.7
충북,2016.08,103.1,217.2,63.3,63.1,29.63,87.6,1.286,160.9
강원,2016.09,95.4,90.4,65.5,60.0,29.89,81.0,1.161,160.6
경기,2016.09,98.3,1257.3,74.1,62.1,30.28,89.9,1.111,163.2
경남,2016.09,107.7,317.3,70.0,61.2,30.01,91.0,1.271,160.4
경북,2016.09,106.4,140.8,67.3,62.7,29.8,88.4,1.303,161.6
광주,2016.09,97.4,2987.9,68.7,57.9,30.26,93.3,1.091,161.8
대구,2016.09,96.7,2778.5,74.0,59.9,30.37,93.1,1.107,163.8
대전,2016.09,98.4,2833.1,72.8,59.6,29.96,91.5,1.114,160.6
부산,2016.09,95.5,4445.2,72.8,56.0,30.71,93.2,1.016,165.6
서울,2016.09,90.4,16122.4,77.7,60.2,31.15,89.8,0.871,161.6
울산,2016.09,105.1,1092.6,69.6,60.0,29.88,96.9,1.313,155.0
인천,2016.09,98.0,2749.6,68.3,61.8,30.16,88.8,1.053,163.8
전남,2016.09,93.2,145.4,57.3,64.4,29.71,83.0,1.372,165.0
전북,2016.09,98.4,226.5,64.7,61.8,29.7,88.4,1.184,161.0
제주,2016.09,99.5,344.4,66.4,70.0,30.44,86.6,1.347,170.1
충남,2016.09,105.0,262.0,64.5,63.8,29.51,87.9,1.316,158.4
충북,2016.09,103.2,217.2,63.4,62.9,29.64,87.6,1.276,160.6
강원,2016.1,96.1,90.4,65.5,60.4,29.9,81.7,1.152,160.4
경기,2016.1,99.0,1258.7,74.1,61.9,30.28,90.0,1.1,162.9
경남,2016.1,107.6,317.3,70.0,61.3,30.02,91.0,1.26,160.2
경북,2016.1,105.5,140.7,67.3,63.5,29.81,88.6,1.291,161.5
광주,2016.1,97.8,2987.0,68.7,58.2,30.27,93.5,1.082,161.9
